N	3gram	Tiupa_Lite	slovoVRo
1	и т п	2	72
2	не может быть	5	19
3	в то же	12	18
4	то же время	12	18
5	с точки зрения	4	15
6	в отличие от	6	14
7	с одной стороны	8	11
8	в этом случае	2	9
9	во всяком случае	2	8
10	с другой стороны	5	6
11	в том что	15	5
12	в этом отношении	5	5
13	не только в	4	5
14	по отношению к	4	5
15	в свою очередь	2	4
16	в данном случае	6	3
17	в связи с	4	3
18	тех или иных	2	3
19	о том что	3	2
20	можно было бы	2	2
21	этой точки зрения	3	2
22	с этой точки	3	2
23	тем не менее	4	2
24	друг для друга	2	2
