N	2gram	Trubetskoy	OGranits
1	и в	26	13
2	прежде всего	2	9
3	и не	8	8
4	не может	4	8
5	может быть	10	8
6	в его	5	7
7	точки зрения	13	7
8	не только	10	6
9	мы должны	6	6
10	как бы	12	6
11	таким образом	22	6
12	только в	4	6
13	то что	7	6
14	и т.д	6	5
15	все же	6	5
16	с точки	6	5
17	и наконец	2	5
18	хотя бы	3	5
19	в процессе	2	5
20	мы можем	2	4
21	но в	7	4
22	лишь в	5	4
23	то же	4	4
24	тех пор	2	4
25	все это	6	4
26	никогда не	5	3
27	и для	5	3
28	общего с	2	3
29	и все	2	3
30	связана с	2	3
31	превращается в	2	3
32	отношению к	3	3
33	не в	2	3
34	ни один	2	3
35	ничего общего	2	3
36	так как	9	3
37	в себе	6	3
38	что в	9	3
39	так и	6	3
40	в которой	3	3
41	не как	2	3
42	в одном	3	3
43	но и	9	3
44	в самом	4	2
45	в этом	15	2
46	в них	2	2
47	уже в	2	2
48	в том	11	2
49	в отношении	6	2
50	несмотря на	6	2
51	если бы	3	2
52	не исчерпывается	2	2
53	с одной	7	2
54	не имеет	5	2
55	пути к	2	2
56	с другой	8	2
57	а в	4	2
58	том что	7	2
59	а также	2	2
60	и к	5	2
61	в связи	3	2
62	в общем	8	2
63	не менее	3	2
64	все эти	6	2
65	в области	9	2
66	связанные с	7	2
67	так же	5	2
68	те же	2	2
69	и при	3	2
70	с этой	3	2
71	в нем	4	2
72	при этом	3	2
73	а не	5	2
74	вслед за	2	2
75	с телом	2	2
76	в течение	4	2
77	и является	2	2
78	одной стороны	7	2
79	между тем	2	2
80	связанных с	2	2
81	тот же	2	2
82	самого начала	2	2
83	к сожалению	3	2
84	с самого	3	2
85	учение о	4	2
86	подойти к	3	2
87	к тому	6	2
88	наконец в	2	2
89	для него	3	2
