N	3gram	Bakhtin_Fr	Vvedenie
1	для того чтобы	5	22
2	в том что	2	15
3	о том что	3	13
4	не может быть	2	10
5	до сих пор	6	7
6	в то же	13	6
7	то же время	13	6
8	во всяком случае	2	5
9	с другой стороны	5	5
10	не только в	3	4
11	в данном случае	3	4
12	в этом отношении	4	4
13	но все же	2	4
14	с одной стороны	4	4
15	по отношению к	2	4
16	в отличие от	3	4
17	с точки зрения	4	4
18	можно было бы	2	4
19	по сравнению с	2	4
20	той или иной	2	3
21	одной стороны и	2	3
22	как мы видели	4	3
23	большей или меньшей	3	3
24	можно сказать что	2	3
25	дело в том	2	3
26	тех или иных	2	3
27	но в то	7	3
28	одной и той	2	2
29	как мы уже	8	2
30	и той же	2	2
31	подобно тому как	2	2
32	а также и	4	2
33	в конце концов	3	2
34	вовсе не в	2	2
35	может быть в	2	2
36	до наших дней	5	2
37	смысле этого слова	2	2
38	может быть и	2	2
39	в связи с	5	2
40	в свою очередь	2	2
