N	2gram	Bakhtin_KF	Narrotol
1	не только	5	62
2	и не	28	50
3	при этом	4	47
4	но и	9	45
5	а не	17	38
6	в качестве	2	35
7	может быть	45	30
8	и в	28	30
9	в том	6	29
10	том что	4	28
11	в этом	15	28
12	а в	5	27
13	только в	18	25
14	в данном	2	24
15	как и	5	24
16	не в	13	23
17	то что	7	23
18	не может	29	20
19	в себе	21	17
20	так и	2	17
21	со стороны	8	16
22	в его	42	16
23	но в	5	15
24	в жизни	2	14
25	и его	18	14
26	в своем	17	13
27	в своей	11	13
28	то же	5	13
29	времени и	4	13
30	о том	3	13
31	уже не	7	13
32	все же	5	12
33	прежде всего	4	12
34	как в	2	12
35	как бы	9	12
36	сводится к	2	12
37	тем самым	4	11
38	по отношению	26	11
39	к себе	2	11
40	и тем	3	11
41	в нем	32	11
42	в этой	2	11
43	если бы	8	11
44	жизни в	5	11
45	отношению к	22	11
46	в мире	8	11
47	никогда не	5	10
48	в то	3	10
49	и т.д	4	10
50	ничего не	3	10
51	один из	2	10
52	точки зрения	13	10
53	того что	3	10
54	и все	9	10
55	но не	12	10
56	жизни и	8	10
57	между тем	4	10
58	с его	2	10
59	в соответствии	2	9
60	еще не	5	9
61	что он	2	9
62	что в	4	9
63	отнюдь не	7	9
64	тем не	2	9
65	той или	3	9
66	для него	13	9
67	потому что	2	9
68	с ним	5	9
69	или иной	2	8
70	самом деле	3	8
71	не менее	3	8
72	того чтобы	2	8
73	мы имеем	5	8
74	мира в	6	8
75	и для	10	8
76	соответствии с	2	8
77	же время	2	8
78	он не	6	8
79	в свою	3	7
80	это не	10	7
81	едва ли	2	7
82	в принципе	2	7
83	в чем	4	7
84	в ней	3	7
85	в целом	10	7
86	в ее	17	7
87	в котором	24	7
88	и на	3	7
89	в современной	3	6
90	о нем	4	6
91	в сознании	2	6
92	могло бы	4	6
93	что и	7	6
94	здесь не	3	6
95	не по	4	6
96	слова в	2	6
97	от его	5	5
98	на самом	3	5
99	для нее	9	5
100	в другом	3	5
101	дело с	2	5
102	а для	2	5
103	к нему	12	5
104	место в	6	5
105	мира и	4	5
106	было бы	8	5
107	мы не	3	5
108	я не	6	5
109	и здесь	7	5
110	и то	2	5
111	что это	4	5
112	с ними	4	5
113	бы и	3	5
114	себя в	8	5
115	с ее	2	5
116	для того	3	5
117	вследствие этого	2	5
118	его жизни	3	5
119	событие в	5	5
120	именно в	5	5
121	в своих	4	5
122	но для	3	5
123	если не	2	5
124	в одном	5	5
125	не было	8	5
126	и того	2	5
127	не о	2	4
128	бытия в	5	4
129	и ее	2	4
130	в виду	3	4
131	в области	2	4
132	в событии	5	4
133	по своему	3	4
134	тому что	2	4
135	она не	2	4
136	это уже	2	4
137	ему в	2	4
138	не будет	2	4
139	и когда	2	4
140	в основе	5	4
141	быть и	3	4
142	хотя бы	5	4
143	могла бы	4	4
144	к этому	2	4
145	это было	2	4
146	и как	2	4
147	не имеет	6	4
148	со всеми	2	4
149	для себя	7	4
150	моей жизни	4	4
151	что я	5	4
152	оно не	2	4
153	для нас	4	4
154	по себе	2	4
155	которой он	2	4
156	в себя	8	4
157	до конца	3	3
158	ее и	6	3
159	и потому	2	3
160	свою жизнь	2	3
161	сознания в	2	3
162	но как	5	3
163	как к	2	3
164	должен быть	7	3
165	а лишь	3	3
166	события в	3	3
167	а как	2	3
168	к чему	3	3
169	в виде	2	3
170	не знает	5	3
171	а с	2	3
172	здесь мы	4	3
173	к ним	4	3
174	в него	2	3
175	и это	12	3
176	своей истории	2	3
177	что не	3	3
178	все эти	11	3
179	в едином	10	3
180	или иного	3	3
181	того или	3	3
182	я уже	2	3
183	но это	6	3
184	дело в	2	3
185	бы быть	5	3
186	дело не	2	3
187	лишь в	8	3
188	бы не	3	3
189	всех его	2	3
190	было и	2	3
191	не должен	3	3
192	всей своей	2	3
193	входит в	4	3
194	быть не	2	3
195	жизни как	5	3
196	он и	2	3
197	с точки	10	3
198	говорить о	2	3
199	и только	7	3
200	не следует	2	3
201	жизни но	3	3
202	в каком	4	2
203	мира не	3	2
204	для которого	3	2
205	в это	2	2
206	в их	9	2
207	значимость и	2	2
208	в момент	3	2
209	людей и	3	2
210	быть в	4	2
211	нем не	2	2
212	для другого	4	2
213	сознания не	2	2
214	в контексте	5	2
215	только с	3	2
216	а все	3	2
217	себя не	3	2
218	не могу	3	2
219	другое дело	2	2
220	в бытии	26	2
221	могут быть	3	2
222	чего не	2	2
223	в процессе	2	2
224	можно ли	2	2
225	все остальное	2	2
226	в единство	3	2
227	и другого	3	2
228	в событие	2	2
229	ее жизни	3	2
230	вовсе не	7	2
231	в мир	2	2
232	только по	2	2
233	и мы	2	2
234	слово не	3	2
235	и значимость	2	2
236	но все	6	2
237	сознания и	3	2
238	бытия и	10	2
239	содержание не	2	2
240	должно быть	6	2
241	его как	5	2
242	раскол между	2	2
243	в составе	2	2
244	в некотором	3	2
245	все это	10	2
246	тем что	3	2
247	та же	3	2
248	не есть	22	2
249	лишь с	2	2
250	одного и	2	2
251	и есть	10	2
252	пространство и	2	2
253	бытия не	2	2
254	его и	2	2
255	смысл и	6	2
256	себе и	3	2
257	быть только	8	2
258	во всех	11	2
259	должна быть	4	2
260	отношение к	6	2
261	всей его	2	2
262	с другим	4	2
263	он может	2	2
264	есть на	2	2
265	вступает в	3	2
266	или иным	2	2
267	а по	2	2
268	из которых	2	2
269	в категориях	4	2
270	раз и	2	2
271	еще более	2	2
272	из него	4	2
273	это и	3	2
274	и делает	3	2
275	человек и	2	2
276	дело здесь	2	2
277	один и	3	2
278	чтобы стать	2	2
279	ясно что	3	2
