N	3gram	Voloshinov	Vvedenie
1	для того чтобы	7	22
2	в том что	9	15
3	о том что	2	13
4	в этом смысле	2	10
5	не может быть	23	10
6	тем не менее	3	9
7	до сих пор	10	7
8	в широком смысле	2	7
9	в то же	7	6
10	в этом случае	3	6
11	в самом деле	13	6
12	то же время	7	6
13	вопрос о том	2	5
14	во всяком случае	4	5
15	на этот вопрос	3	5
16	с другой стороны	6	5
17	не только в	2	4
18	так или иначе	2	4
19	само по себе	2	4
20	в этом отношении	4	4
21	но все же	4	4
22	с одной стороны	2	4
23	по отношению к	9	4
24	в отличие от	7	4
25	с точки зрения	31	4
26	можно было бы	2	4
27	то же самое	8	3
28	той или иной	5	3
29	как мы видели	4	3
30	того чтобы понять	2	3
31	в чем же	2	3
32	в зависимости от	2	3
33	можно сказать что	4	3
34	сама по себе	2	3
35	в собственном смысле	2	3
36	но в то	6	3
37	одно и то	3	2
38	и то же	3	2
39	одной и той	2	2
40	мы уже знаем	2	2
41	как мы уже	3	2
42	и той же	2	2
43	в первом случае	3	2
44	на этой почве	4	2
45	языка и его	6	2
46	в конце концов	3	2
47	и того же	9	2
48	одного и того	9	2
49	смысле этого слова	6	2
50	может быть и	8	2
51	в связи с	12	2
52	в свою очередь	5	2
53	не могут быть	3	2
