N	2gram	Medvedev_U	Otkroven
1	и в	14	19
2	но и	4	13
3	и не	8	13
4	в этом	7	12
5	не только	10	11
6	не в	2	11
7	а не	10	11
8	может быть	6	11
9	прежде всего	8	9
10	в его	2	7
11	как и	3	6
12	все это	5	6
13	для него	3	5
14	в россии	4	5
15	в том	2	5
16	в самом	2	5
17	то что	7	5
18	в этой	4	5
19	не может	7	4
20	с его	2	4
21	в себе	2	3
22	это не	3	3
23	не могут	2	3
24	что он	2	3
25	было бы	3	3
26	хотя бы	5	3
27	могут быть	2	3
28	это было	2	3
29	и то	3	2
30	и для	2	2
31	что все	2	2
32	ничего не	2	2
33	и с	2	2
34	что и	2	2
35	тем что	2	2
36	но в	3	2
37	том что	2	2
38	все же	3	2
39	в своей	3	2
40	по себе	2	2
41	даже и	2	2
42	не все	2	2
43	художественном творчестве	2	2
44	не есть	2	2
