N	2gram	Savitsky_P	Vladivir
1	и в	14	116
2	то что	4	71
3	и не	12	67
4	не только	17	65
5	в этом	10	53
6	в том	9	52
7	том что	4	51
8	что в	4	48
9	но и	6	47
10	в его	2	40
11	и с	2	39
12	потому что	3	33
13	не может	4	31
14	только в	7	30
15	а в	4	27
16	не было	2	26
17	в то	7	25
18	но в	9	25
19	в себе	3	25
20	а также	4	24
21	точки зрения	3	23
22	между прочим	2	23
23	может быть	5	23
24	в виде	2	22
25	в своем	4	20
26	прежде всего	3	20
27	для нас	2	20
28	и потому	4	19
29	не менее	2	19
30	как раз	2	19
31	не в	5	18
32	хотя и	3	18
33	н н	3	18
34	а не	2	17
35	и если	4	17
36	того что	2	16
37	а н	5	16
38	было бы	6	16
39	в котором	4	16
40	то же	9	15
41	и к	4	15
42	в с	4	14
43	и как	3	14
44	с тем	3	13
45	да и	2	13
46	в нем	3	12
47	и это	2	12
48	по себе	4	12
49	в отношении	10	11
50	мы должны	4	11
51	и о	5	11
52	все это	2	11
53	никак не	2	11
54	хотя бы	8	11
55	в ней	6	10
56	в качестве	9	10
57	в россии	3	10
58	но не	3	10
59	отнюдь не	2	10
60	с точки	3	10
61	это не	3	9
62	в начале	2	9
63	с этим	2	9
64	с другой	5	9
65	именно в	2	9
66	что мы	3	9
67	же время	7	9
68	отношения к	2	9
69	не столько	2	8
70	xix века	6	8
71	как бы	4	8
72	тот же	3	8
73	и и	2	8
74	должно быть	2	8
75	со стороны	2	8
76	в смысле	6	8
77	же в	4	7
78	и мы	2	7
79	если бы	4	7
80	и вот	2	7
81	м и	2	7
82	и есть	2	7
83	в них	2	7
84	есть не	2	6
85	в общем	2	6
86	тем более	2	6
87	в сравнении	3	6
88	для того	3	6
89	м а	2	6
90	мы не	3	6
91	в жизни	2	6
92	главным образом	2	6
93	е н	5	5
94	тех кто	4	5
95	и тем	2	5
96	в частности	2	5
97	и без	3	5
98	в области	11	5
99	сводится к	3	5
100	церкви и	2	5
101	во всех	2	5
102	сравнении с	3	5
103	с с	2	5
104	еще более	2	5
105	из них	2	5
106	которое в	2	5
107	и весьма	2	5
108	как на	2	5
109	не к	2	5
110	не о	2	4
111	тем самым	3	4
112	не будем	2	4
113	наряду с	3	4
114	и вселенская	3	4
115	есть нечто	2	4
116	и других	2	4
117	н и	8	4
118	и т	3	4
119	она есть	3	4
120	одной стороны	3	4
121	на этих	2	4
122	для тех	2	4
123	время в	2	4
124	в статье	2	4
125	с одной	3	4
126	заключается в	3	4
127	в последние	2	4
128	на путях	4	4
129	россии и	4	4
130	д н	2	3
131	в силу	2	3
132	но о	2	3
133	не нужно	2	3
134	в полной	2	3
135	для них	2	3
136	том числе	2	3
137	с ними	3	3
138	я и	3	3
139	в тот	2	3
140	отношении к	5	3
141	в мире	2	3
142	думать что	2	3
143	в которых	5	3
144	начала и	2	3
145	в европе	2	2
146	одна из	2	2
147	что из	2	2
148	но к	2	2
149	на пути	4	2
150	к чему	2	2
151	нужно было	2	2
152	теперь в	2	2
153	стороны и	2	2
154	может и	2	2
155	в ее	2	2
156	д д	2	2
157	было в	2	2
158	например в	2	2
159	духа и	2	2
160	в которую	2	2
161	если в	2	2
162	суждений о	2	2
163	в о	7	2
164	эта идея	2	2
165	н а	10	2
166	во всей	2	2
167	и пр	5	2
168	к и	3	2
169	является в	2	2
170	в порядке	3	2
171	в русской	4	2
172	она ни	2	2
173	ней не	2	2
174	о в	5	2
175	в русском	2	2
176	говорить о	2	2
