N	2gram	Tiupa_Hudo	OGranits
1	и в	23	13
2	и его	12	12
3	прежде всего	5	9
4	и не	16	8
5	не может	9	8
6	может быть	19	8
7	в его	11	7
8	точки зрения	11	7
9	эстетический объект	4	7
10	и т.п	7	7
11	не только	20	6
12	как бы	11	6
13	таким образом	3	6
14	только в	7	6
15	то что	5	6
16	и т.д	4	5
17	эстетического объекта	4	5
18	с точки	3	5
19	художественного произведения	4	5
20	еще и	2	4
21	но в	10	4
22	только и	2	4
23	лишь в	7	4
24	то же	12	4
25	не является	5	4
26	произведения как	3	4
27	в своей	7	4
28	материала в	2	4
29	все это	2	4
30	никогда не	2	3
31	одно и	3	3
32	и для	3	3
33	и то	4	3
34	в ее	6	3
35	превращается в	2	3
36	отношению к	10	3
37	как и	3	3
38	в пределах	3	3
39	не в	9	3
40	в их	5	3
41	говорить о	4	3
42	в себе	13	3
43	что в	7	3
44	по отношению	10	3
45	самом деле	2	3
46	за пределы	2	3
47	так и	12	3
48	в которой	3	3
49	не как	2	3
50	в одном	3	3
51	в искусстве	9	3
52	но и	14	3
53	не столько	7	3
54	в самом	7	2
55	могут быть	5	2
56	собственно говоря	2	2
57	своего рода	9	2
58	в этом	12	2
59	в них	2	2
60	для себя	4	2
61	в том	20	2
62	в отношении	4	2
63	несмотря на	2	2
64	в целом	3	2
65	если бы	3	2
66	в произведении	3	2
67	с одной	3	2
68	или иного	4	2
69	всей своей	2	2
70	роль в	2	2
71	и др	2	2
72	ее в	2	2
73	во времени	4	2
74	с другой	9	2
75	слова и	2	2
76	от всех	2	2
77	а в	13	2
78	и тем	4	2
79	том что	9	2
80	того или	4	2
81	а также	6	2
82	и к	3	2
83	в связи	3	2
84	в данном	4	2
85	не менее	5	2
86	с ними	2	2
87	все эти	2	2
88	художественное произведение	3	2
89	в области	8	2
90	так же	2	2
91	от своего	2	2
92	героя и	5	2
93	с этой	3	2
94	и может	2	2
95	в нем	6	2
96	не на	5	2
97	истории литературы	2	2
98	при этом	19	2
99	и ее	3	2
100	а не	13	2
101	во всей	3	2
102	вслед за	2	2
103	литературного произведения	13	2
104	входит в	4	2
105	как в	2	2
106	другой стороны	6	2
107	мог бы	3	2
108	одной стороны	3	2
109	между тем	4	2
110	в чем	2	2
111	имеет место	3	2
112	ни одно	2	2
113	в другом	4	2
114	вовсе не	2	2
115	к тому	4	2
116	для него	5	2
117	в структуре	3	2
