N	2gram	Tiupa_Anal	OGranits
1	и в	36	13
2	и его	18	12
3	прежде всего	7	9
4	и не	14	8
5	не может	3	8
6	может быть	19	8
7	в его	12	7
8	и их	3	7
9	точки зрения	3	7
10	эстетический объект	2	7
11	и т.п	7	7
12	не только	40	6
13	как бы	14	6
14	таким образом	4	6
15	только в	9	6
16	то что	5	6
17	и т.д	3	5
18	эстетического объекта	6	5
19	все же	6	5
20	с точки	2	5
21	мы можем	2	4
22	еще и	4	4
23	но в	8	4
24	лишь в	9	4
25	то же	7	4
26	тех пор	2	4
27	не является	5	4
28	произведения как	4	4
29	в своей	12	4
30	все это	5	4
31	было бы	6	4
32	вопроса о	2	4
33	мы не	4	4
34	в каждом	4	4
35	на фоне	4	4
36	никогда не	7	3
37	да и	3	3
38	и для	4	3
39	и то	2	3
40	и все	3	3
41	в ее	5	3
42	превращается в	3	3
43	с этим	4	3
44	при анализе	2	3
45	отношению к	9	3
46	как и	27	3
47	в пределах	5	3
48	не в	9	3
49	в их	7	3
50	говорить о	6	3
51	в себе	7	3
52	что в	15	3
53	по отношению	9	3
54	самом деле	2	3
55	за пределы	3	3
56	так и	19	3
57	не как	3	3
58	к одному	2	3
59	в одном	4	3
60	в искусстве	3	3
61	но и	26	3
62	не столько	4	3
63	в самом	7	2
64	могут быть	4	2
65	своего рода	17	2
66	в этом	19	2
67	в них	4	2
68	произведения но	2	2
69	для себя	2	2
70	данном случае	11	2
71	уже в	5	2
72	в том	16	2
73	тем что	3	2
74	в отношении	2	2
75	есть не	2	2
76	несмотря на	2	2
77	в целом	8	2
78	если бы	2	2
79	в произведении	3	2
80	с одной	3	2
81	или иного	5	2
82	роль в	5	2
83	ее в	2	2
84	в действительности	2	2
85	с другой	10	2
86	там где	2	2
87	от всех	2	2
88	а в	17	2
89	и тем	3	2
90	том что	19	2
91	того или	6	2
92	а также	5	2
93	и к	7	2
94	в данном	12	2
95	в общем	4	2
96	не менее	9	2
97	с ними	2	2
98	все эти	2	2
99	от своего	3	2
100	что они	3	2
101	мы уже	2	2
102	те же	3	2
103	героя и	7	2
104	нуждается в	2	2
105	и может	2	2
106	в своих	3	2
107	в полном	2	2
108	в нем	3	2
109	в тех	2	2
110	при этом	19	2
111	и ее	3	2
112	а не	16	2
113	в ней	2	2
114	литературного произведения	8	2
115	на две	3	2
116	входит в	4	2
117	как в	9	2
118	другой стороны	7	2
119	во всем	5	2
120	мог бы	3	2
121	и является	3	2
122	одной стороны	3	2
123	между тем	8	2
124	в чем	2	2
125	и композиция	3	2
126	имеет место	3	2
127	соответствии с	3	2
128	тот же	3	2
129	в другом	3	2
130	вовсе не	2	2
131	литературное произведение	3	2
132	к тому	10	2
133	не мог	4	2
134	наконец в	3	2
135	для него	8	2
