N	3gram	Vygotskiy_	Stilisti
1	в то же	2	9
2	то же время	2	7
3	для того чтобы	19	7
4	в зависимости от	8	7
5	и то же	2	5
6	с точки зрения	34	5
7	одно и то	2	5
8	и т.д и	2	5
9	прежде всего в	2	4
10	с самого начала	9	4
11	то же самое	4	4
12	одной и той	2	4
13	той или иной	2	4
14	и той же	2	4
15	в свою очередь	3	4
16	как мы уже	4	3
17	на самом деле	3	3
18	мы уже видели	2	3
19	и тем самым	4	3
20	внутренней речи и	5	2
21	вместе с тем	5	2
22	в связи с	3	2
23	его внутренней речи	2	2
24	мы увидим что	2	2
25	в самом деле	5	2
26	в этом отношении	6	2
27	в значительной степени	2	2
28	должны были бы	2	2
29	что перед нами	3	2
30	к тому что	3	2
31	можно сказать что	5	2
32	по отношению к	11	2
33	мы видели что	4	2
34	смысле этого слова	6	2
35	о том что	10	2
36	не может быть	8	2
