N	2gram	Tiupa_Anal	RusskieA
1	и в	36	79
2	в том	16	64
3	том что	19	59
4	что в	15	57
5	т е	2	54
6	не только	40	41
7	а а	5	40
8	во время	2	38
9	в этом	19	33
10	состоит в	14	32
11	как бы	14	31
12	но и	26	31
13	как и	27	28
14	может быть	19	28
15	и на	5	28
16	одна из	6	24
17	о том	9	23
18	при этом	19	22
19	это не	4	20
20	как мы	4	20
21	а в	17	20
22	из них	4	19
23	все это	5	18
24	с тем	2	17
25	то что	5	17
26	об этом	3	17
27	таким образом	4	17
28	вместе с	3	17
29	мы не	4	16
30	во многих	2	16
31	один из	6	15
32	не менее	9	14
33	в них	4	14
34	как это	7	14
35	тем не	3	14
36	и не	14	14
37	и что	2	14
38	так что	2	13
39	и по	3	13
40	к этому	3	13
41	не может	3	13
42	еще не	7	13
43	как в	9	13
44	уже не	9	13
45	мы имеем	5	12
46	тем что	3	12
47	что на	3	11
48	а на	2	11
49	а затем	2	11
50	но это	3	11
51	далеко не	8	11
52	его в	4	10
53	так и	19	10
54	между тем	8	10
55	все же	6	10
56	что и	10	10
57	а также	5	10
58	том чтобы	2	10
59	представляет собой	7	10
60	или в	4	10
61	данном случае	11	9
62	о чем	5	9
63	но в	8	9
64	к жизни	5	9
65	и все	3	9
66	что они	3	9
67	то же	7	9
68	но не	13	9
69	того что	4	8
70	одно из	3	8
71	как уже	4	8
72	в данном	12	8
73	на себя	5	8
74	же в	5	8
75	во всех	4	8
76	подобно тому	4	8
77	ее в	2	8
78	в этих	2	8
79	что по	4	8
80	тому как	3	8
81	в своем	7	7
82	а и	4	7
83	ничего не	3	7
84	не в	9	7
85	а с	2	7
86	было бы	6	7
87	с этого	2	7
88	из этих	4	7
89	и как	5	7
90	только в	9	7
91	а не	16	7
92	в этой	10	6
93	не будем	2	6
94	и их	3	6
95	на этом	2	6
96	в их	7	6
97	не всегда	4	6
98	она не	3	6
99	к тому	10	6
100	в нем	3	6
101	так в	4	6
102	в году	5	6
103	с ними	2	6
104	все эти	2	6
105	связаны с	2	6
106	в качестве	22	6
107	в одном	4	6
108	что она	3	6
109	должен был	2	6
110	но они	2	6
111	приводит к	5	6
112	после чего	2	6
113	в таком	2	6
114	и потому	3	5
115	в тех	2	5
116	вплоть до	5	5
117	нас к	2	5
118	что он	5	5
119	прежде всего	7	5
120	в свою	9	5
121	с этим	4	5
122	в то	8	5
123	в целом	8	5
124	тогда как	37	5
125	там где	2	5
126	не было	3	5
127	например в	2	5
128	тот же	3	5
129	в его	12	5
130	по поводу	5	5
131	можно было	2	5
132	как правило	6	5
133	в особенности	4	5
134	не с	3	5
135	и для	4	5
136	с другой	10	5
137	входит в	4	5
138	и к	7	5
139	отнюдь не	7	5
140	с ним	2	5
141	мы уже	2	5
142	в таких	2	4
143	в доме	2	4
144	если в	3	4
145	и ее	3	4
146	в глаза	2	4
147	и а	4	4
148	он же	2	4
149	на две	3	4
150	таким же	4	4
151	своего рода	17	4
152	отличие от	5	4
153	не столько	4	4
154	могут быть	4	4
155	и до	2	4
156	этого слова	3	4
157	во всяком	6	4
158	в основе	2	4
159	этого момента	2	4
160	и от	3	4
161	по своему	3	4
162	дело не	3	4
163	несмотря на	2	4
164	и здесь	4	4
165	такой же	2	4
166	в отличие	5	4
167	что у	3	4
168	именно в	4	4
169	в своих	3	4
170	уже в	5	4
171	в ней	2	4
172	всяком случае	6	4
173	во всем	5	4
174	никогда не	7	3
175	очевидно что	2	3
176	своему происхождению	2	3
177	в одной	2	3
178	каждый из	2	3
179	в форме	2	3
180	то есть	15	3
181	с той	3	3
182	это и	4	3
183	только по	2	3
184	в одно	2	3
185	в отдельности	2	3
186	любви и	2	3
187	тех пор	2	3
188	точки зрения	3	3
189	связь с	3	3
190	церкви и	2	3
191	в ее	5	3
192	в своей	12	3
193	он был	3	3
194	свою очередь	7	3
195	место в	4	3
196	хотя и	4	3
197	имеет место	3	3
198	и то	2	3
199	совершенно очевидно	2	3
200	говорилось выше	2	3
201	по отношению	9	3
202	из наиболее	3	3
203	в эту	2	3
204	если бы	2	3
