N	2gram	Berdyaev_V	Analitik
1	не только	2	71
2	и в	16	66
3	но и	5	57
4	в том	3	52
5	в этом	4	51
6	как и	4	50
7	и не	20	48
8	а не	7	42
9	том что	2	40
10	так и	4	35
11	в мире	5	31
12	как бы	5	29
13	а в	2	28
14	в его	4	27
15	не в	3	26
16	но не	2	26
17	к тому	3	22
18	что в	3	22
19	лишь в	3	21
20	но в	3	19
21	в своей	3	19
22	с его	3	19
23	только в	2	17
24	могут быть	2	16
25	то что	9	16
26	что и	3	16
27	не есть	6	15
28	прежде всего	2	15
29	уже не	2	15
30	между тем	2	15
31	в себя	2	14
32	для него	2	13
33	никогда не	3	12
34	еще не	8	12
35	и сам	2	12
36	это не	2	11
37	не с	2	11
38	в конце	3	10
39	на себя	5	10
40	один из	2	10
41	того что	5	9
42	во всех	3	9
43	говорить о	4	9
44	что он	4	8
45	и все	4	8
46	хотя и	5	8
47	с ним	2	8
48	все это	5	7
49	во всяком	2	7
50	одна из	2	7
51	и для	3	7
52	личности и	3	7
53	что не	4	6
54	в нем	4	6
55	не будет	2	6
56	и то	2	6
57	хотя бы	3	6
58	превращается в	3	6
59	более чем	2	6
60	и потому	7	5
61	не могут	2	5
62	а с	2	5
63	не так	2	5
64	в них	3	5
65	все эти	3	5
66	мы не	2	5
67	тот же	3	5
68	да и	2	5
69	по пути	5	5
70	мира в	2	5
71	в этих	3	5
72	тем что	2	5
73	ни в	3	5
74	в котором	4	5
75	все что	4	5
76	что мы	4	5
77	его к	2	4
78	вслед за	2	4
79	его и	2	4
80	и что	3	4
81	потому что	4	4
82	в чем	3	4
83	его не	2	4
84	того чтобы	2	4
85	и во	2	4
86	и тогда	2	4
87	и т	2	4
88	бы и	3	4
89	но это	3	4
90	от которого	3	4
91	ее в	2	4
92	ты не	5	4
93	не было	3	4
94	и есть	4	4
95	от него	2	3
96	человека и	6	3
97	и за	2	3
98	всего в	2	3
99	с тем	2	3
100	в ней	4	3
101	что все	4	3
102	и я	4	3
103	что они	7	3
104	смысла жизни	4	3
105	так как	9	3
106	можно было	2	3
107	должно быть	3	3
108	в жизни	3	3
109	оно не	3	3
110	от своей	2	3
111	если не	3	3
112	жизни и	3	3
113	не к	2	3
114	для человека	2	2
115	но мы	2	2
116	для нас	2	2
117	зачем же	2	2
118	так для	2	2
119	личности а	2	2
120	является в	2	2
121	вера в	2	2
122	ее и	2	2
123	к чему	3	2
124	в личности	2	2
125	в прошлом	2	2
126	тот кто	2	2
127	тому что	3	2
128	и свободы	2	2
129	к счастью	3	2
130	по этому	3	2
131	освобождения от	2	2
132	под этим	2	2
133	это еще	4	2
134	нет ничего	3	2
135	что во	3	2
136	им что	2	2
137	этого мира	3	2
138	о свободе	2	2
139	этих трех	3	2
140	человека как	2	2
141	все равно	2	2
142	от свободы	2	2
143	за ним	3	2
144	нет и	2	2
145	не имеет	3	2
146	их в	3	2
147	мировой жизни	4	2
148	а между	2	2
149	значения и	2	2
150	тем кто	2	2
151	мы и	2	2
152	в форме	2	2
153	этому пути	2	2
