N	2gram	Voloshinov	Psycholo
1	то что	6	193
2	и в	13	190
3	в том	2	163
4	что в	3	123
5	том что	2	113
6	может быть	8	107
7	таким образом	6	102
8	в этом	2	100
9	в самом	2	82
10	как бы	6	80
11	не только	6	75
12	и не	8	73
13	самом деле	3	70
14	точки зрения	7	69
15	не может	8	68
16	так как	3	63
17	так же	2	63
18	было бы	4	56
19	если бы	2	55
20	то же	4	54
21	при этом	2	52
22	как и	3	51
23	а не	2	50
24	только в	6	46
25	в искусстве	3	45
26	к тому	2	45
27	не в	3	45
28	никогда не	3	42
29	и все	3	42
30	но и	3	40
31	мы видим	2	37
32	вовсе не	2	34
33	и его	12	34
34	все же	5	33
35	все это	4	32
36	художественного произведения	5	32
37	в себе	3	32
38	в ней	2	31
39	мы не	4	31
40	в его	7	31
41	как в	2	30
42	с одной	2	29
43	и для	3	29
44	с точки	5	29
45	одной стороны	2	29
46	в нем	2	29
47	что они	2	28
48	и то	3	28
49	мы можем	4	28
50	с другой	2	27
51	в своих	2	27
52	а в	2	27
53	в целом	2	24
54	художественное произведение	2	24
55	тем что	2	24
56	могут быть	2	23
57	с этим	3	22
58	между тем	2	22
59	в своей	4	21
60	что эта	2	21
61	в двух	4	21
62	все эти	2	20
63	тот же	2	20
64	несмотря на	2	20
65	там где	2	20
66	другой стороны	2	20
67	мы должны	6	19
68	в ее	3	19
69	в одном	3	19
70	мы уже	2	19
71	но в	4	18
72	в которой	3	18
73	с этой	2	18
74	вслед за	2	18
75	есть не	2	18
76	зависимости от	2	18
77	так и	3	16
78	самого начала	2	16
79	не имеет	2	16
80	и к	2	16
81	и тем	2	16
82	с самого	2	16
83	в зависимости	2	15
84	в них	2	15
85	для него	2	15
86	хотя бы	5	14
87	прежде всего	9	14
88	в области	2	14
89	бы в	2	14
90	те же	2	14
91	и этот	2	12
92	не менее	2	12
93	в поэзии	5	12
94	и может	2	12
95	и уже	3	12
96	понятно что	3	11
97	думать что	2	11
98	но мы	4	11
99	уже в	2	11
100	данном случае	2	10
101	в тех	2	10
102	в другом	2	10
103	здесь мы	3	10
104	не является	4	10
105	материала и	3	10
106	и их	7	10
107	во всем	2	10
108	в их	3	10
109	в данном	2	10
110	ее в	2	10
111	и следовательно	2	9
112	и ее	2	9
113	которое мы	2	9
114	и наконец	5	9
115	роль в	2	9
116	в действительности	2	9
117	в чем	2	9
118	героя и	2	9
119	в процессе	5	8
120	при анализе	3	8
121	что же	3	8
122	мы получим	2	8
123	одно и	3	8
124	кажется что	2	8
125	и эта	5	8
126	в сознании	4	8
127	в произведении	2	8
128	в общем	2	8
129	со всей	3	8
130	в полном	2	7
131	не как	3	7
132	в руках	2	7
133	от этого	2	7
134	того или	2	7
135	а как	2	7
136	и при	2	7
137	имеет место	2	7
138	до тех	4	7
139	в течение	2	7
140	в каждом	4	7
141	в отношении	2	6
142	за пределы	3	6
143	на две	2	6
144	слова и	2	6
145	иное как	2	6
146	что иное	2	6
147	от всех	2	6
148	в музыке	5	6
149	нуждается в	2	6
150	не что	2	6
151	поэтического произведения	3	6
152	тех пор	4	6
153	смысле слова	2	6
154	да и	3	6
155	или иного	2	6
156	не сумеем	2	6
157	говорить о	3	6
158	пор пока	3	6
159	еще и	4	5
160	к одному	3	5
161	точку зрения	3	5
162	но так	2	5
163	и является	2	5
164	не мог	2	5
165	слов и	4	5
166	материала в	4	5
167	он только	2	5
168	который мы	2	5
169	во всей	2	5
170	конечно в	2	5
171	от своего	2	4
172	форм и	2	4
173	при восприятии	2	4
174	к сожалению	2	4
175	к анализу	2	4
176	только ее	2	4
177	в языке	2	4
178	не на	2	4
179	себе что	2	4
180	с помощью	2	4
181	но для	3	4
182	по отношению	3	4
183	эстетический объект	7	4
184	подойти к	2	4
185	может стать	2	4
186	с ними	2	4
187	в связи	2	4
188	произведения как	4	4
189	в пределах	3	4
190	мог бы	2	4
191	этот материал	2	4
192	ничего общего	3	4
193	материалом для	2	4
194	его на	2	3
195	но ведь	5	3
196	для себя	2	3
197	ни одно	2	3
198	общего с	3	3
199	этой проблемы	2	3
200	она является	2	3
201	против такого	2	3
202	и должно	2	3
203	а также	2	3
204	мы считаем	2	3
205	превращается в	3	3
206	ни один	3	3
207	элемента в	2	3
208	еще в	2	3
209	которое может	2	3
210	вопроса о	4	3
211	слово в	3	3
212	в школе	4	3
213	нет ничего	2	3
214	и др	2	3
215	на язык	2	3
216	в которую	2	3
217	в этот	2	3
218	связана с	3	3
219	не столько	3	3
220	отношению к	3	3
221	явлений и	2	3
222	в книге	2	2
223	во времени	2	2
224	с историей	2	2
225	произведения является	2	2
226	произведения но	2	2
227	в структуре	2	2
228	похожим на	3	2
229	эстетических категорий	3	2
230	эстетического объекта	5	2
231	литературного произведения	2	2
232	между собою	2	2
233	каждое слово	2	2
234	представлений и	2	2
235	и т.д	5	2
236	истории литературы	2	2
237	которые только	2	2
238	тела и	3	2
239	материал в	2	2
240	наконец в	2	2
241	в поэтике	3	2
242	я хочу	3	2
243	поэтической речи	3	2
244	каждый элемент	2	2
245	литературное произведение	2	2
246	чем же	2	2
247	учение о	2	2
