N	2gram	Trubetskoy	Stilisti
1	и в	24	42
2	как бы	10	30
3	не только	10	28
4	прежде всего	3	22
5	и т.д	4	21
6	хотя бы	4	18
7	то же	4	16
8	но и	11	16
9	и не	9	14
10	не может	18	13
11	может быть	17	13
12	как и	10	12
13	точки зрения	14	11
14	что мы	4	11
15	мы уже	4	11
16	в себе	5	10
17	отнюдь не	2	10
18	мы должны	4	10
19	в этом	13	10
20	как мы	3	10
21	в то	6	9
22	для того	8	9
23	все же	15	9
24	то что	18	9
25	при этом	9	9
26	тем самым	3	8
27	так как	7	8
28	и это	3	8
29	с тем	4	8
30	в ней	3	8
31	что же	2	8
32	таким образом	34	8
33	никогда не	4	7
34	другими словами	2	7
35	и от	5	7
36	в которой	5	7
37	мы можем	6	7
38	зависимости от	2	7
39	же время	2	7
40	так и	10	7
41	потому что	9	7
42	только в	6	7
43	и на	6	7
44	того чтобы	8	7
45	было бы	3	7
46	и его	2	7
47	той же	2	7
48	и так	2	6
49	бы в	3	6
50	во всех	10	6
51	не в	9	6
52	в области	4	6
53	точку зрения	2	6
54	в конце	4	6
55	в нем	3	6
56	в свою	2	6
57	в процессе	2	6
58	в его	5	6
59	в этой	7	6
60	мы будем	3	6
61	и то	4	5
62	в сознании	7	5
63	независимо от	2	5
64	в нашем	3	5
65	то есть	2	5
66	и наконец	3	5
67	и их	5	5
68	самом деле	12	5
69	а с	4	5
70	мы видели	2	5
71	но все	5	5
72	тому что	2	5
73	а в	3	5
74	но в	5	5
75	те же	2	5
76	в самом	8	5
77	и с	5	5
78	с точки	8	5
79	вместе с	7	5
80	что это	5	4
81	так же	8	4
82	его в	5	4
83	на него	2	4
84	если бы	8	4
85	лишь в	5	4
86	свою очередь	2	4
87	у нас	3	4
88	того что	7	4
89	которой мы	2	4
90	одной и	2	4
91	и все	9	4
92	к тому	8	4
93	о том	7	4
94	если мы	4	4
95	и к	5	4
96	в целом	5	4
97	все это	13	4
98	заключает в	2	4
99	и без	5	4
100	тем же	2	4
101	на самом	7	3
102	это не	3	3
103	том что	20	3
104	а к	2	3
105	в начале	3	3
106	в тех	3	3
107	но для	2	3
108	и поэтому	2	3
109	этого слова	2	3
110	от того	3	3
111	целый ряд	4	3
112	социальной жизни	4	3
113	конце концов	4	3
114	в виду	2	3
115	та же	4	3
116	в том	31	3
117	он должен	2	3
118	в частности	2	3
119	у них	6	3
120	еще не	6	3
121	вследствие этого	3	3
122	совершенно не	4	3
123	не знает	2	3
124	в разных	3	3
125	к той	2	3
126	для него	2	3
127	по своему	5	3
128	не так	4	3
129	и для	6	3
130	что у	2	3
131	в котором	2	3
132	их в	2	3
133	и тому	2	3
134	что оно	3	3
135	между ними	2	3
136	из которых	4	3
137	не будет	5	3
138	из них	5	3
139	если он	2	3
140	для нас	3	3
141	представить себе	2	3
142	хотя и	4	3
143	несмотря на	6	3
144	общества и	2	3
145	жизни и	2	3
146	что и	7	3
147	и уже	2	3
148	все эти	19	3
149	конечно не	3	3
150	связи с	4	3
151	что эти	2	3
152	этом случае	4	3
153	между тем	12	3
154	в основе	2	3
155	для этого	7	2
156	и вообще	3	2
157	вопрос о	3	2
158	все то	2	2
159	очевидно что	3	2
160	и потому	3	2
161	помнить что	2	2
162	с этим	12	2
163	из этих	8	2
164	но как	2	2
165	но даже	3	2
166	должно быть	5	2
167	на одном	2	2
168	каждый из	3	2
169	к этому	5	2
170	по отношению	11	2
171	за ними	3	2
172	при условии	2	2
173	следует искать	2	2
174	отношение к	4	2
175	друг друга	2	2
176	должен быть	2	2
177	на первый	2	2
178	из двух	2	2
179	в их	4	2
180	том же	4	2
181	и при	6	2
182	в этих	3	2
183	что он	7	2
184	по своей	7	2
185	ничем не	5	2
186	и сам	2	2
187	отношению к	11	2
188	сих пор	15	2
189	только тогда	2	2
190	в жизни	3	2
191	в мире	6	2
192	но не	3	2
193	также и	2	2
194	к нему	2	2
195	тому же	6	2
196	гораздо более	2	2
197	в своих	2	2
198	ту же	2	2
199	не есть	4	2
200	будет иметь	2	2
201	этот вопрос	2	2
202	о них	2	2
203	в которых	2	2
204	ни один	4	2
205	и те	2	2
206	между собой	4	2
207	не было	2	2
208	как не	2	2
209	между двумя	5	2
210	ответить на	2	2
211	не будут	2	2
212	в связи	3	2
213	таким же	3	2
214	он не	4	2
215	случаях когда	3	2
216	в дальнейшем	4	2
217	с ним	6	2
218	мы говорили	8	2
219	тот же	3	2
220	для всякого	2	2
221	которые носят	2	2
222	вовсе не	2	2
223	этот процесс	2	2
224	ясно что	8	2
