N	2gram	Propp_Russ	slovoVRo
1	и в	59	92
2	и т	13	82
3	то есть	3	64
4	в нем	3	59
5	может быть	14	59
6	и его	2	59
7	и не	6	51
8	не только	28	44
9	не может	6	41
10	но и	20	39
11	до конца	5	37
12	в этом	18	36
13	а не	3	34
14	во всех	6	32
15	так и	8	30
16	точки зрения	3	30
17	могут быть	3	29
18	и др	4	29
19	в пределах	2	29
20	в его	3	27
21	слова в	3	26
22	все это	12	25
23	как бы	18	24
24	то же	6	23
25	и на	14	22
26	не в	2	21
27	как в	10	21
28	в то	3	20
29	прежде всего	2	19
30	как мы	11	19
31	как и	19	18
32	с ним	2	18
33	все же	7	17
34	оно не	2	17
35	все эти	5	17
36	в большинстве	2	17
37	таким образом	10	17
38	отличие от	4	16
39	при этом	11	16
40	в них	10	16
41	но в	5	16
42	там где	3	15
43	и с	12	15
44	с точки	3	15
45	в отличие	4	14
46	только в	4	14
47	это не	14	13
48	и следовательно	2	13
49	в особенности	3	13
50	и для	3	13
51	и потому	3	12
52	а в	16	12
53	или в	7	12
54	и наконец	2	12
55	еще не	7	12
56	и к	3	12
57	один из	10	11
58	большинстве случаев	2	11
59	с ними	6	11
60	в этих	3	11
61	в своем	3	10
62	и их	4	10
63	в том	33	10
64	и все	4	10
65	она не	4	10
66	с другими	3	10
67	всех этих	2	10
68	в него	2	10
69	т д	12	10
70	далеко не	5	10
71	уже не	9	10
72	его в	9	9
73	и от	2	9
74	одним из	2	9
75	и других	9	9
76	в основном	4	9
77	к нему	3	9
78	в их	5	9
79	этом случае	9	9
80	одна из	12	9
81	так как	25	9
82	но не	7	9
83	быть и	3	9
84	п в	25	8
85	в ней	3	8
86	не на	2	8
87	с этим	4	8
88	входит в	4	8
89	для нас	12	8
90	перед нами	2	7
91	том что	33	7
92	друг друга	3	7
93	ту же	2	7
94	в целом	2	7
95	связи с	6	7
96	например в	3	7
97	у него	2	7
98	но все	3	7
99	связанные с	5	7
100	не было	3	7
101	и непосредственно	2	7
102	в таком	5	7
103	кроме того	3	7
104	во всем	2	7
105	мы уже	2	7
106	ничего не	4	6
107	которые в	2	6
108	на этом	6	6
109	а также	6	6
110	что в	35	6
111	в качестве	5	6
112	говорить о	2	6
113	и там	2	6
114	и здесь	3	6
115	именно в	3	6
116	в свою	3	6
117	себя и	2	6
118	в одном	4	6
119	между тем	9	6
120	в каждом	2	5
121	только на	4	5
122	не менее	3	5
123	а затем	5	5
124	мы не	11	5
125	и по	10	5
126	должен быть	2	5
127	в других	24	5
128	хотя и	3	5
129	для этого	6	5
130	в данном	7	5
131	и при	2	5
132	связанных с	2	5
133	не является	2	5
134	для того	6	5
135	его и	2	5
136	и более	3	5
137	не с	5	5
138	в дальнейшем	2	5
139	о том	14	5
140	уже в	2	5
141	или даже	3	5
142	но он	3	5
143	вместе с	16	5
144	следовательно и	2	4
145	в различных	3	4
146	так же	7	4
147	образом в	2	4
148	и ее	3	4
149	а на	8	4
150	вокруг него	2	4
151	что и	8	4
152	в виду	3	4
153	что он	2	4
154	он должен	2	4
155	том же	6	4
156	не всегда	4	4
157	свою очередь	2	4
158	в виде	10	4
159	влияние на	3	4
160	в частности	2	4
161	связано с	3	4
162	того что	6	4
163	мы видели	3	4
164	где они	2	4
165	так в	5	4
166	тогда когда	4	4
167	не столько	3	4
168	не были	2	4
169	того чтобы	6	4
170	и во	2	4
171	же как	5	4
172	но эти	3	4
173	но это	5	4
174	его как	2	4
175	дело не	2	4
176	в которой	3	4
177	и как	2	4
178	с этой	2	4
179	и о	4	4
180	к тому	4	4
181	значение в	2	4
182	и другим	3	4
183	из них	12	4
184	в некоторых	11	4
185	как только	2	4
186	в различные	2	4
187	по существу	7	4
188	на первый	3	4
189	данном случае	8	3
190	в иных	2	3
191	его от	2	3
192	но она	3	3
193	не был	3	3
194	но эта	2	3
195	в одно	2	3
196	как это	11	3
197	в разных	3	3
198	они были	2	3
199	в свете	5	3
200	тому что	4	3
201	только с	2	3
202	в более	2	3
203	его с	4	3
