N	2gram	Vinokur_Vv	Analitik
1	не только	26	71
2	тогда как	2	67
3	и в	35	66
4	в качестве	8	61
5	но и	7	57
6	в том	38	52
7	может быть	30	52
8	в частности	3	51
9	в этом	35	51
10	как и	7	50
11	и не	13	48
12	в тексте	4	42
13	а не	5	42
14	том что	30	40
15	при этом	3	40
16	так и	2	35
17	своего рода	3	30
18	состоит в	2	30
19	представляет собой	14	30
20	не может	19	29
21	как бы	7	29
22	а в	6	28
23	в его	12	27
24	и его	6	27
25	не в	10	26
26	но не	9	26
27	в себе	4	24
28	к тому	4	22
29	и даже	6	22
30	в этой	3	22
31	что в	13	22
32	о том	16	20
33	по отношению	4	19
34	но в	10	19
35	в своей	4	19
36	то же	11	19
37	в самом	13	19
38	в то	6	18
39	в данном	11	18
40	отношению к	4	18
41	или иной	3	17
42	с другой	8	17
43	со стороны	16	17
44	такого рода	3	17
45	в целом	5	17
46	только в	16	17
47	могут быть	6	16
48	то что	19	16
49	что и	5	16
50	не есть	5	15
51	в их	12	15
52	прежде всего	10	15
53	в сущности	3	15
54	литературное произведение	3	15
55	уже не	6	15
56	и на	3	15
57	между тем	10	15
58	данном случае	5	14
59	в принципе	3	14
60	отличие от	4	14
61	не менее	9	14
62	того же	3	14
63	той или	3	14
64	мы имеем	4	14
65	себя в	2	14
66	в отличие	4	14
67	же время	6	14
68	по себе	11	13
69	ничего не	2	13
70	точки зрения	12	13
71	в начале	3	13
72	как раз	4	13
73	этого слова	2	13
74	а также	3	13
75	никогда не	3	12
76	и к	3	12
77	есть не	5	12
78	как это	5	12
79	еще не	4	12
80	как в	3	12
81	в конечном	3	12
82	и сам	3	12
83	в свою	2	11
84	это не	8	11
85	во второй	3	11
86	нуждается в	3	11
87	и как	9	11
88	не с	3	11
89	можно сказать	4	11
90	той же	4	11
91	в той	10	11
92	не следует	3	11
93	в конце	3	10
94	все же	9	10
95	текста и	3	10
96	однако в	3	10
97	один из	6	10
98	было бы	7	10
99	подобно тому	2	10
100	с одной	4	10
101	именно в	8	10
102	здесь не	3	10
103	в своем	3	9
104	значении этого	2	9
105	того что	12	9
106	не столько	2	9
107	как уже	5	9
108	одной стороны	4	9
109	крайней мере	4	9
110	свою очередь	2	9
111	особого рода	4	9
112	другой стороны	5	9
113	во всех	2	9
114	в результате	4	9
115	по крайней	4	9
116	том чтобы	6	9
117	тому как	2	9
118	и того	3	9
119	говорит о	3	9
120	говорить о	5	9
121	таким образом	21	9
122	вместе с	6	9
123	о чем	4	8
124	что он	5	8
125	дело с	9	8
126	одной из	4	8
127	этом отношении	4	8
128	хотя и	5	8
129	нашего времени	2	8
130	дело не	5	8
131	если бы	3	8
132	времени и	4	8
133	он и	2	8
134	с точки	4	8
135	свое время	3	7
136	иное как	6	7
137	в другом	3	7
138	в соответствии	2	7
139	и тем	5	7
140	от себя	3	7
141	в свое	3	7
142	в ее	11	7
143	все это	6	7
144	во всяком	5	7
145	одна из	3	7
146	несмотря на	2	7
147	как будто	3	7
148	что иное	5	7
149	и для	4	7
150	или иначе	4	7
151	и т.д	5	7
152	в одном	4	7
153	однако не	4	7
154	всяком случае	5	7
155	внимание на	5	7
156	как мы	11	7
157	времени в	3	7
158	не мог	2	7
159	его в	6	6
160	из того	2	6
161	что не	5	6
162	не что	5	6
163	в силу	3	6
164	должен быть	4	6
165	казалось бы	2	6
166	мере в	6	6
167	в нем	13	6
168	ответ на	4	6
169	тем более	2	6
170	при всей	2	6
171	и то	7	6
172	хотя бы	6	6
173	из этих	9	6
174	во всем	2	6
175	одного и	2	6
176	тем не	9	6
177	так или	4	6
178	на этом	3	6
179	из которых	3	6
180	из них	4	6
181	уже в	5	6
182	соответствии с	2	6
183	по его	2	6
184	вовсе не	6	6
185	в широком	7	5
186	и потому	2	5
187	не могут	6	5
188	не как	3	5
189	входит в	3	5
190	но как	2	5
191	каждый из	2	5
192	так что	5	5
193	самом деле	7	5
194	на вопрос	6	5
195	а с	2	5
196	может служить	3	5
197	в общем	14	5
198	во втором	2	5
199	или ином	2	5
200	в них	5	5
201	том или	2	5
202	речь идет	2	5
203	а затем	2	5
204	и до	2	5
205	все эти	3	5
206	мы не	2	5
207	к числу	2	5
208	в первом	5	5
209	этом случае	6	5
210	и здесь	3	5
211	да и	4	5
212	с их	5	5
213	одно из	5	5
214	к этому	3	5
215	в особенности	4	5
216	как о	4	5
217	для того	23	5
218	в этих	3	5
219	тем что	6	5
220	еще и	4	5
221	ни с	2	5
222	в котором	4	5
223	в слове	3	5
224	будто бы	2	5
225	что мы	2	5
226	в отношении	3	4
227	его к	2	4
228	однако с	2	4
229	и ее	4	4
230	в области	4	4
231	в каждом	4	4
232	отношение к	3	4
233	одним из	5	4
234	а как	5	4
235	как он	6	4
236	а именно	6	4
237	только на	3	4
238	истории литературы	3	4
239	известном смысле	3	4
240	к нему	3	4
241	или меньшей	3	4
242	и что	6	4
243	к тексту	2	4
244	потому что	18	4
245	нам не	2	4
246	в чем	4	4
247	в известном	3	4
248	что же	3	4
249	того чтобы	22	4
250	и тогда	3	4
251	и т	45	4
252	бы и	3	4
253	сказать что	6	4
254	по своему	5	4
255	с этим	3	4
256	но это	2	4
257	что она	3	4
258	бы в	2	4
259	представляют собой	9	4
260	о литературе	3	4
261	об этом	6	4
262	сама по	3	4
263	в значительной	3	4
264	мы уже	2	4
265	между ними	3	4
266	или иных	3	4
267	в своих	2	4
268	жизни как	2	4
269	этом смысле	11	4
270	большей или	3	4
271	тех или	3	4
272	не было	2	4
273	и есть	3	4
274	в собственном	3	4
275	вопрос о	10	3
276	в таких	2	3
277	художественной литературы	2	3
278	мы должны	2	3
279	для нее	2	3
280	слова как	2	3
281	в обоих	2	3
282	и далее	2	3
283	в ряду	2	3
284	было сказано	3	3
285	в виду	5	3
286	и был	2	3
287	к своему	2	3
288	т п	5	3
289	одной и	2	3
290	на котором	2	3
291	с тем	6	3
292	в наиболее	2	3
293	взгляде на	3	3
294	гораздо более	3	3
295	в ней	3	3
296	его можно	2	3
297	не говоря	2	3
298	и те	2	3
299	языка и	15	3
300	и заключается	4	3
301	в зависимости	3	3
302	в тех	2	3
303	заключается в	4	3
304	связи с	3	3
305	в связи	2	3
306	что они	2	3
307	случае не	2	3
308	из его	2	3
309	на языке	2	3
310	иметь дело	2	3
311	для этого	3	3
312	например в	2	3
313	первом случае	2	3
314	и той	3	3
315	независимо от	5	3
316	какой бы	2	3
317	так как	15	3
318	можно было	8	3
319	хотя в	2	3
320	дело в	5	3
321	должно быть	2	3
322	о котором	8	3
323	в центре	4	3
324	и всего	2	3
325	зависимости от	3	3
326	с этой	5	3
327	обратим внимание	2	3
328	ни к	2	3
329	в какой	6	3
330	на этот	6	3
331	т.д в	2	3
332	из наиболее	4	3
333	есть лишь	2	3
334	также и	20	3
335	и наоборот	3	3
336	уже было	2	3
337	на то	2	3
338	и с	2	3
339	на почве	5	3
