N	2gram	Propp_Isto	EvropaiE
1	и в	41	37
2	точки зрения	4	23
3	что в	21	21
4	не только	30	18
5	в то	6	16
6	то же	12	15
7	в своем	3	14
8	но в	7	14
9	но и	20	14
10	и не	12	14
11	в качестве	5	14
12	в этом	19	12
13	в том	14	11
14	в их	4	11
15	в области	3	11
16	так и	8	10
17	т е	34	9
18	так же	6	9
19	не может	19	9
20	в себе	3	9
21	прежде всего	6	9
22	только в	10	9
23	одной стороны	12	8
24	в ее	3	8
25	думать что	3	8
26	было бы	4	8
27	в своей	4	8
28	с одной	12	8
29	к тому	4	8
30	нам кажется	5	7
31	с другой	20	7
32	а также	2	7
33	как и	8	7
34	так как	21	7
35	между прочим	3	7
36	того что	7	7
37	том что	18	6
38	вслед за	2	6
39	во всех	8	6
40	и даже	3	6
41	может быть	19	6
42	и на	12	6
43	стороны и	4	6
44	с этой	7	6
45	для того	2	6
46	на то	5	6
47	то что	12	6
48	как бы	8	6
49	вовсе не	6	6
50	но не	8	5
51	от этого	2	5
52	тем самым	3	5
53	и по	7	5
54	но если	2	5
55	этой точки	3	5
56	как мы	6	5
57	которую мы	2	5
58	со стороны	3	5
59	не в	12	5
60	в виде	5	5
61	в частности	3	5
62	же как	6	5
63	одной из	4	5
64	даже в	2	4
65	сказать что	5	4
66	вопрос о	6	4
67	не имеет	6	4
68	во многих	2	4
69	можно сказать	3	4
70	независимо от	3	4
71	именно в	2	4
72	в самом	2	4
73	мы не	10	4
74	в ней	4	4
75	для нас	8	4
76	по себе	2	4
77	тем более	2	4
78	к ней	3	4
79	как это	6	4
80	никогда не	16	3
81	с тем	8	3
82	и от	5	3
83	и только	4	3
84	о том	15	3
85	к ним	3	3
86	в данном	8	3
87	северной америке	3	3
88	вообще не	4	3
89	того же	3	3
90	в которых	2	3
91	когда он	5	3
92	можно было	3	3
93	мира и	2	3
94	мы можем	11	3
95	от них	2	3
96	не будет	6	3
97	из них	2	3
98	в них	4	3
99	можно ли	2	3
100	всяком случае	3	3
101	на себя	3	3
102	мы видели	17	3
103	что и	13	3
104	и некоторые	2	3
105	отметить что	2	3
106	там где	7	3
107	и тем	4	3
108	по своим	3	3
109	тем что	11	3
110	говорит о	2	3
111	потому что	13	3
112	себе не	2	3
113	на своем	4	3
114	она в	4	3
115	себе в	3	3
116	представляет собой	8	3
117	как в	17	3
118	связано с	7	3
119	как на	3	3
120	ее в	3	3
121	во всяком	3	3
122	данном случае	7	2
123	и если	4	2
124	представление о	9	2
125	на этот	4	2
126	кажется что	7	2
127	если в	3	2
128	в его	4	2
129	начиная с	2	2
130	что это	6	2
131	в эту	3	2
132	при помощи	6	2
133	и то	3	2
134	другой и	2	2
135	совершенно очевидно	2	2
136	что если	2	2
137	утверждать что	3	2
138	к нему	8	2
139	не могут	3	2
140	она не	3	2
141	а в	12	2
142	участие в	2	2
143	с этим	3	2
144	мы должны	7	2
145	более поздние	2	2
146	в котором	3	2
147	его на	2	2
148	но как	4	2
149	в свои	3	2
150	далеко не	3	2
151	и с	4	2
152	этот вопрос	3	2
153	в другой	3	2
154	могут быть	3	2
155	другой стороны	17	2
156	не дают	2	2
157	тогда когда	3	2
158	в одном	2	2
159	и как	3	2
160	не можем	3	2
161	что же	2	2
162	если бы	3	2
163	в этих	16	2
164	жизни и	3	2
165	народов не	2	2
166	в силу	2	2
167	в других	6	2
168	а не	9	2
169	и других	2	2
170	мы видим	14	2
171	прочим и	2	2
172	и что	15	2
173	нас к	5	2
174	происходит в	3	2
175	и наконец	6	2
176	то не	5	2
177	и все	6	2
178	или в	11	2
179	наряду с	2	2
180	таким образом	15	2
181	а именно	12	2
182	это значит	3	2
183	он не	8	2
184	приводит нас	2	2
185	как будто	4	2
186	такой же	3	2
187	главным образом	3	2
188	случаях когда	7	2
189	и эта	5	2
190	но по	2	2
191	что эти	4	2
192	в этой	2	2
193	в некоторых	2	2
194	но с	2	2
195	в северной	3	2
196	хотя и	3	2
197	должна быть	3	2
198	вместе с	17	2
199	и более	2	2
200	вопрос не	2	2
