N	2gram	Losev_Dial	Sotsiolo
1	все это	14	7
2	в том	20	5
3	в этом	18	5
4	как же	8	3
5	не только	26	3
6	и только	5	3
7	в его	4	3
8	но ведь	2	3
9	не в	12	3
10	и в	35	3
11	это и	6	2
12	дело не	3	2
13	должна быть	5	2
14	еще не	4	2
15	только в	7	2
16	что в	19	2
17	тем более	2	2
18	в частности	4	2
19	том что	18	2
20	было бы	14	2
21	таким образом	5	2
22	в смысле	5	2
23	то же	21	2
24	только как	3	2
25	как будто	7	2
26	и что	17	2
27	конце концов	4	2
28	как только	4	2
29	то что	25	2
30	как бы	19	2
31	но и	17	2
32	главным образом	2	2
33	в конце	5	2
34	за пределы	4	2
35	и мы	8	2
36	далеко не	2	2
37	может быть	30	2
38	по существу	2	2
39	в результате	2	2
40	ведь это	3	2
