N	3gram	Vygotskiy_	SlovoVZh
1	по отношению к	9	11
2	не может быть	6	7
3	можно сказать что	7	5
4	в том что	24	4
5	тем не менее	4	3
6	до сих пор	6	3
7	имеет в виду	3	3
8	этой точки зрения	4	3
9	и не может	2	3
10	на самом деле	2	2
11	одно и то	3	2
12	одной стороны и	4	2
13	в данном случае	5	2
14	в такой же	3	2
15	в зависимости от	6	2
16	с другой стороны	3	2
17	и то же	3	2
18	с точки зрения	31	2
19	до известной степени	2	2
20	то же самое	11	2
21	отношение к предмету	2	2
22	находит свое выражение	3	2
23	с одной стороны	7	2
24	только в процессе	2	2
