N	2gram	Losev_Dial	slovoVRo
1	и в	34	92
2	и т	41	82
3	в нем	7	59
4	может быть	30	59
5	и его	8	59
6	и не	50	51
7	не только	35	44
8	не может	29	41
9	но и	14	39
10	в этом	14	36
11	а не	39	34
12	во всех	2	32
13	так и	11	30
14	точки зрения	43	30
15	могут быть	5	29
16	в его	6	27
17	все это	13	25
18	слово в	2	24
19	как бы	19	24
20	то же	9	23
21	и на	6	22
22	не в	11	21
23	в сущности	10	21
24	как в	2	21
25	вовсе не	18	21
26	в то	9	20
27	в процессе	2	20
28	прежде всего	20	19
29	как мы	4	19
30	или иной	4	18
31	как и	14	18
32	себя в	3	18
33	же время	5	18
34	с ним	3	18
35	все же	4	17
36	оно не	7	17
37	все эти	4	17
38	в истории	7	17
39	в основе	6	17
40	и даже	21	17
41	таким образом	14	17
42	отличие от	2	16
43	при этом	7	16
44	в них	6	16
45	но в	3	16
46	той или	3	15
47	и с	10	15
48	с точки	25	15
49	только в	10	14
50	это не	13	13
51	и следовательно	2	13
52	точка зрения	5	13
53	с его	7	13
54	в особенности	9	13
55	и для	5	13
56	с другой	5	13
57	в слове	3	13
58	никогда не	9	12
59	и потому	6	12
60	а в	3	12
61	или в	4	12
62	во всяком	5	12
63	и наконец	2	12
64	еще не	7	12
65	и к	5	12
66	с ними	3	11
67	одной стороны	3	11
68	в этих	3	11
69	с одной	4	11
70	для него	4	11
71	в своем	7	10
72	в том	17	10
73	и все	17	10
74	она не	10	10
75	в себе	8	10
76	всех этих	3	10
77	в него	2	10
78	т д	38	10
79	уже не	9	10
80	может не	4	10
81	его в	2	9
82	и от	4	9
83	к нему	4	9
84	в их	2	9
85	в своей	4	9
86	сказать что	7	9
87	одна из	4	9
88	так как	12	9
89	с ее	10	9
90	но не	3	9
91	в смысле	4	9
92	конечно не	6	9
93	он не	8	9
94	быть и	7	9
95	не могут	6	8
96	в одной	4	8
97	человека и	2	8
98	в зависимости	3	8
99	в ней	4	8
100	не на	7	8
101	все время	4	8
102	с этим	4	8
103	и часто	3	8
104	зависимости от	4	8
105	в самом	9	8
106	для нас	2	8
107	всяком случае	3	8
108	перед нами	5	7
109	том что	18	7
110	от него	2	7
111	друг друга	3	7
112	по преимуществу	2	7
113	его не	3	7
