N	2gram	Propp_Isto	VelikijI
1	и не	19	20
2	и в	40	16
3	так как	20	9
4	то что	17	9
5	еще не	14	8
6	в истории	2	8
7	и потому	3	7
8	что они	13	7
9	а не	18	7
10	не есть	2	6
11	как бы	6	5
12	на себя	2	5
13	но и	21	5
14	все это	6	5
15	по пути	2	5
16	ты не	5	5
17	того что	6	5
18	как и	5	4
19	в котором	5	4
20	потому что	12	4
21	в нем	8	4
22	в образе	3	4
23	в ней	10	4
24	что не	2	4
25	мы хотим	2	4
26	что мы	9	4
27	в его	10	4
28	о смысле	2	4
29	в этом	13	4
30	что он	32	4
31	и есть	5	4
32	так и	13	4
33	никогда не	25	3
34	превращается в	4	3
35	в жизни	2	3
36	что в	19	3
37	в том	12	3
38	и для	5	3
39	от этого	2	3
40	за то	3	3
41	но в	13	3
42	к тому	6	3
43	ни в	2	3
44	их в	7	3
45	нет ничего	2	3
46	то это	9	3
47	но это	8	3
48	должно быть	2	3
49	хотя бы	5	3
50	в своей	2	3
51	во всех	3	3
52	к чему	4	3
53	по этому	2	3
54	в них	2	3
55	что и	9	3
56	и мы	2	3
57	не было	3	3
58	и что	14	3
59	не в	11	3
60	все эти	6	3
61	в этих	17	3
62	должна быть	5	3
63	и они	5	3
64	тот же	3	3
65	и то	3	2
66	с тем	13	2
67	да и	3	2
68	одна из	4	2
69	не так	2	2
70	но не	7	2
71	в прошлом	2	2
72	что их	3	2
73	тот кто	3	2
74	от этих	2	2
75	и это	2	2
76	это не	8	2
77	ее в	7	2
78	не только	28	2
79	не могут	3	2
80	а в	15	2
81	том что	11	2
82	что от	2	2
83	но мы	2	2
84	и тогда	3	2
85	вслед за	7	2
86	уже не	3	2
87	могут быть	5	2
88	один из	10	2
89	т д	35	2
90	того чтобы	3	2
91	над ними	2	2
92	тем что	7	2
93	вот почему	2	2
94	мы не	12	2
95	конечно не	2	2
96	можно было	8	2
97	уже на	2	2
98	только в	16	2
99	а есть	2	2
100	в форме	3	2
101	его и	6	2
102	это дело	4	2
103	для нас	17	2
104	в себя	2	2
105	прежде всего	15	2
106	и т	39	2
107	вместо того	2	2
108	с ним	3	2
109	его не	3	2
110	всего в	2	2
111	между тем	2	2
112	а с	4	2
113	для него	2	2
114	не с	3	2
