N	3gram	Vinokur_Ku	Hudozhes
1	по отношению к	8	10
2	в том что	23	8
3	в то же	4	7
4	в отличие от	3	7
5	то же время	4	7
6	с другой стороны	12	6
7	более или менее	3	6
8	в конечном счете	2	5
9	состоит в том	4	5
10	для того чтобы	21	5
11	так или иначе	3	4
12	того или иного	5	4
13	не может быть	5	4
14	с точки зрения	16	3
15	с одной стороны	2	3
16	в виду не	2	3
17	тем не менее	9	3
18	в этом смысле	8	3
19	в связи с	4	3
20	можно сказать что	2	3
21	и того же	2	3
22	и в самом	4	3
23	одного и того	2	3
24	в противном случае	2	2
25	в том и	3	2
26	в данный момент	2	2
27	этой точки зрения	4	2
28	в самом деле	14	2
29	том что он	4	2
30	к тому что	2	2
31	с этой точки	3	2
32	а с другой	3	2
33	в свою очередь	4	2
34	по большей части	2	2
