N	2gram	Propp_Isto	Sovremen
1	не может	8	17
2	точки зрения	3	12
3	может быть	22	12
4	таким образом	15	11
5	мы не	3	9
6	не можем	2	7
7	и в	43	7
8	в этом	25	7
9	и не	16	6
10	ничего не	12	6
11	как и	9	6
12	только одна	3	6
13	мы можем	10	6
14	что же	2	5
15	все эти	8	5
16	прежде всего	3	5
17	вопрос о	4	4
18	мы видели	18	4
19	это не	10	4
20	не только	28	4
21	в том	13	4
22	мы должны	9	4
23	как бы	5	4
24	их в	6	4
25	так как	13	4
26	в дальнейшем	8	4
27	в целом	4	4
28	жизни и	2	4
29	вместе с	12	4
30	а в	13	4
31	из них	7	4
32	для нас	6	3
33	следующим образом	3	3
34	видели что	8	3
35	и потому	2	3
36	на этой	2	3
37	но в	15	3
38	при этом	4	3
39	не в	9	3
40	все же	13	3
41	он в	3	3
42	было бы	5	3
43	в себе	2	3
44	еще не	15	3
45	одна из	2	3
46	у нас	7	3
47	и все	4	3
48	все это	4	3
49	в нем	11	3
50	в наших	2	3
51	между собой	2	3
52	а не	13	3
53	и к	4	3
54	что она	8	3
55	в этой	7	3
56	то же	11	3
57	в одном	9	3
58	ясно что	2	3
59	но все	5	2
60	на его	5	2
61	и по	6	2
62	всяком случае	2	2
63	которой он	3	2
64	быть и	3	2
65	роль в	2	2
66	а на	5	2
67	не менее	6	2
68	той же	3	2
69	дает нам	3	2
70	мы видим	15	2
71	в его	7	2
72	к чему	2	2
73	он должен	3	2
74	с этим	13	2
75	и пр	19	2
76	и что	6	2
77	то и	7	2
78	во всяком	2	2
79	с другом	2	2
80	что при	3	2
81	из этих	5	2
82	она может	2	2
83	и есть	3	2
84	или же	2	2
85	в виде	2	2
86	еще более	3	2
87	знаем что	9	2
88	что в	29	2
89	совершенно не	2	2
90	все те	2	2
91	у него	4	2
92	такой же	3	2
93	в некоторых	9	2
94	уже не	11	2
95	в свою	5	2
96	если же	2	2
97	не будем	6	2
98	и они	4	2
99	могут быть	9	2
100	через некоторое	2	2
101	же мы	2	2
102	тот же	2	2
103	с одной	2	2
104	на этом	5	2
105	как мы	11	2
106	не дает	3	2
107	мы знаем	11	2
108	что это	4	2
109	этих двух	2	2
110	тем не	6	2
111	на котором	2	2
112	и даже	4	2
113	друг с	2	2
114	некоторое время	4	2
