N	2gram	Vygotskiy_	Analitik
1	не только	36	71
2	и в	47	66
3	в качестве	9	61
4	но и	19	57
5	в том	38	52
6	может быть	20	52
7	в частности	4	51
8	в этом	47	51
9	как и	19	50
10	и не	27	48
11	а не	7	42
12	том что	28	40
13	при этом	4	40
14	так и	8	35
15	состоит в	3	30
16	представляет собой	23	30
17	не может	23	29
18	как бы	13	29
19	отнюдь не	2	29
20	а в	3	28
21	в его	7	27
22	и его	14	27
23	не в	7	26
24	но не	13	26
25	в себе	14	24
26	иначе говоря	3	23
27	к тому	13	22
28	и даже	3	22
29	в этой	7	22
30	что в	23	22
31	лишь в	3	21
32	о том	5	20
33	по отношению	10	19
34	но в	9	19
35	в своей	4	19
36	то же	16	19
37	в самом	15	19
38	в то	10	18
39	в данном	7	18
40	отношению к	9	18
41	тем самым	14	17
42	или иной	2	17
43	с другой	7	17
44	в целом	7	17
45	только в	24	17
46	могут быть	7	16
47	то что	40	16
48	в пределах	3	16
49	что и	4	16
50	не есть	4	15
51	в их	4	15
52	прежде всего	9	15
53	в сущности	16	15
54	и на	4	15
55	между тем	2	15
56	данном случае	5	14
57	отличие от	4	14
58	не менее	6	14
59	того же	7	14
60	той или	2	14
61	мы имеем	3	14
62	в отличие	4	14
63	столь же	2	14
64	в себя	4	14
65	по себе	5	13
66	ничего не	2	13
67	точки зрения	39	13
68	в начале	6	13
69	как раз	6	13
70	этого слова	5	13
71	для него	6	13
72	как правило	2	13
73	в случае	5	13
74	он не	5	13
75	тому же	2	13
76	никогда не	7	12
77	и к	11	12
78	есть не	3	12
79	как это	7	12
80	в первой	3	12
81	еще не	5	12
82	как в	7	12
83	внутренней речи	78	12
84	в конечном	2	12
85	даже в	2	11
86	в свою	3	11
87	это не	6	11
88	во второй	5	11
89	нуждается в	5	11
90	по своей	12	11
91	конечном счете	2	11
92	и как	7	11
93	не с	3	11
94	можно сказать	9	11
95	той же	13	11
96	в той	7	11
97	имеем дело	2	11
98	в конце	5	10
99	едва ли	5	10
100	все же	7	10
101	один из	3	10
102	было бы	12	10
103	подобно тому	2	10
104	с одной	7	10
105	именно в	9	10
106	совпадает с	5	10
107	отношения к	5	10
108	в своем	3	9
109	того что	27	9
110	одной стороны	7	9
111	свою очередь	3	9
112	имеет место	4	9
113	по поводу	3	9
114	другой стороны	3	9
115	за пределы	2	9
116	во всех	9	9
117	в результате	3	9
118	только не	14	9
119	на фоне	3	9
120	тому как	2	9
121	и того	3	9
122	таким образом	38	9
123	вместе с	19	9
124	перед нами	3	8
125	о чем	8	8
126	в ходе	14	8
127	что он	13	8
128	дело с	3	8
129	одной из	4	8
130	и все	5	8
131	одного из	2	8
132	этом отношении	7	8
133	хотя и	4	8
134	в основе	5	8
135	между двумя	5	8
136	о его	3	8
137	если бы	8	8
138	не является	4	8
139	как известно	6	8
140	с точки	31	8
141	с ним	5	8
142	в другом	3	7
143	как говорит	6	7
144	в новом	2	7
145	и тем	10	7
146	по природе	2	7
147	на его	3	7
148	в ее	7	7
149	все это	5	7
150	во всяком	2	7
151	одна из	2	7
152	себя и	2	7
153	несмотря на	2	7
154	и для	5	7
155	у него	2	7
156	и является	5	7
157	и т.д	4	7
158	приводит к	10	7
159	в одном	4	7
160	однако не	2	7
161	внимание на	4	7
162	как мы	24	7
163	в таком	2	7
164	в нашем	6	7
165	не мог	2	7
166	его в	7	6
167	из того	7	6
168	для всех	2	6
169	если в	6	6
170	вопроса о	2	6
171	что не	2	6
172	с другим	3	6
173	в силу	21	6
174	ли не	3	6
175	казалось бы	4	6
176	не знает	3	6
177	мере в	2	6
178	в нем	6	6
179	самим собой	2	6
180	что на	5	6
181	ответ на	3	6
182	или в	2	6
183	и состоит	3	6
184	и то	10	6
185	то в	4	6
186	в сознании	11	6
187	из этих	6	6
188	в равной	2	6
189	во всем	4	6
190	одного и	3	6
191	тем не	4	6
192	и более	2	6
193	есть в	5	6
194	ключ к	3	6
195	на этом	4	6
196	из которых	3	6
197	из них	2	6
198	уже в	3	6
199	вовсе не	3	6
200	и потому	3	5
201	не могут	9	5
202	входит в	3	5
203	а и	2	5
204	но как	3	5
205	одну из	2	5
206	для себя	24	5
207	совершенно не	2	5
208	так что	8	5
209	самом деле	6	5
210	на вопрос	6	5
211	а с	3	5
212	во втором	5	5
213	в них	3	5
214	с той	3	5
215	а затем	2	5
216	и по	6	5
217	и до	3	5
218	все эти	7	5
219	мы не	10	5
220	того и	2	5
221	в первом	6	5
222	принадлежит к	2	5
223	этом случае	15	5
224	я не	3	5
225	и здесь	5	5
226	к его	3	5
227	с их	2	5
228	одно из	6	5
229	к этому	2	5
230	с другими	5	5
231	по выражению	2	5
232	и он	4	5
233	с ее	2	5
234	для того	24	5
235	и их	7	5
236	в этих	2	5
237	такой же	4	5
238	тем что	14	5
239	ни в	3	5
240	в котором	6	5
