N	3gram	Propp_Isto	Freidism
1	не может быть	8	14
2	по отношению к	6	11
3	в том что	6	9
4	мы знаем что	7	6
5	в большинстве случаев	4	5
6	с самого начала	4	5
7	тем не менее	7	4
8	мы увидим что	8	4
9	в зависимости от	3	4
10	на самом деле	2	4
11	мы не можем	3	3
12	мы уже знаем	3	3
13	на этот вопрос	2	3
14	бы то ни	2	3
15	и тот же	2	3
16	о том что	5	3
17	один и тот	2	3
18	до сих пор	11	3
19	мы видели что	3	3
20	то ни было	2	2
21	в таких случаях	4	2
22	то же самое	3	2
23	и тем не	2	2
24	в другом месте	2	2
25	в отличие от	3	2
26	с одной стороны	7	2
