N	2gram	Vinokur_Ku	DiskursI
1	в качестве	12	72
2	а не	17	60
3	может быть	25	56
4	не только	29	49
5	и в	44	49
6	как и	3	47
7	тогда как	2	47
8	при этом	6	46
9	в том	47	44
10	и не	23	44
11	том что	30	40
12	в этом	31	38
13	в себе	4	37
14	состоит в	4	37
15	в частности	6	36
16	но и	13	35
17	своего рода	4	32
18	но не	11	31
19	со стороны	8	28
20	так и	10	28
21	отличие от	3	28
22	но в	11	28
23	не может	13	27
24	в отличие	3	27
25	как в	6	25
26	в рамках	5	23
27	еще не	10	23
28	отнюдь не	5	23
29	а также	3	20
30	все же	17	19
31	прежде всего	14	19
32	в нем	7	19
33	в своей	4	19
34	далеко не	2	18
35	по отношению	9	17
36	в данном	8	17
37	то же	12	17
38	с другой	14	17
39	отношению к	9	17
40	точки зрения	25	16
41	только в	15	16
42	роль в	6	15
43	в его	16	15
44	то что	14	15
45	о том	10	15
46	это не	13	14
47	или иной	3	14
48	не в	18	14
49	не менее	12	14
50	одной стороны	2	14
51	можно сказать	6	14
52	не является	2	14
53	с одной	3	14
54	в целом	5	13
55	для него	2	13
56	как бы	11	13
57	данном случае	2	12
58	в своем	4	12
59	и все	4	12
60	того же	6	12
61	в своих	2	12
62	и на	8	12
63	что в	25	11
64	с его	4	11
65	и как	3	11
66	как правило	2	11
67	столь же	2	11
68	не было	6	11
69	а в	7	10
70	а с	3	10
71	не столько	2	10
72	также и	7	10
73	же время	4	10
74	тем самым	5	9
75	в то	4	9
76	в силу	16	9
77	между тем	11	9
78	в них	10	9
79	уже не	13	9
80	внимание на	5	9
81	сводится к	3	9
82	в соответствии	6	8
83	этом отношении	8	8
84	и о	3	8
85	к тому	8	8
86	потому что	40	8
87	не на	4	8
88	хотя и	7	8
89	если в	2	8
90	и даже	5	8
91	в этих	5	8
92	не с	4	8
93	в себя	2	8
94	в котором	4	8
95	соответствии с	5	8
96	в одном	4	8
97	из них	4	8
98	он не	4	8
99	не следует	6	8
100	перед нами	4	7
101	о чем	2	7
102	могут быть	5	7
103	приводит к	3	7
104	и для	3	7
105	но это	4	7
106	что и	5	7
107	например в	5	7
108	в этой	8	7
109	другой стороны	12	7
110	к этому	4	7
111	иначе говоря	2	7
112	лишь в	6	7
113	в пределах	8	7
114	ни в	3	7
115	я в	2	7
116	той же	5	7
117	и его	8	7
118	таким образом	17	7
119	тому же	2	7
120	никогда не	2	6
121	не как	2	6
122	отношение к	2	6
123	что он	7	6
124	не знает	4	6
125	одно из	3	6
126	в контексте	2	6
127	именно в	7	6
128	однако в	2	6
129	что же	11	6
130	здесь не	5	6
131	крайней мере	11	6
132	и может	3	6
133	в сущности	11	6
134	в истории	3	6
135	в ее	2	6
136	и то	7	6
137	разумеется не	5	6
138	дело в	2	6
139	конечном счете	2	6
140	в особенности	6	6
141	по крайней	11	6
142	в конечном	3	6
143	в которых	8	6
144	с точки	16	6
145	и того	2	6
146	в противовес	3	6
147	в первую	5	5
148	ничего не	6	5
149	к себе	4	5
150	в другом	2	5
151	в виду	7	5
152	в их	3	5
153	не всегда	4	5
154	свою очередь	4	5
155	и потому	6	5
156	того что	11	5
157	о нем	2	5
158	к ним	2	5
159	во втором	2	5
160	несмотря на	6	5
161	же касается	4	5
162	один из	8	5
163	мой взгляд	2	5
164	было в	2	5
165	первую очередь	3	5
166	того как	6	5
167	как будто	2	5
168	сказать что	5	5
169	из этих	5	5
170	так сказать	5	5
171	для данного	2	5
172	на мой	2	5
173	переход от	4	5
174	одного и	2	5
175	что касается	4	5
176	за рамки	3	5
177	в свою	4	5
178	можно говорить	4	5
179	оно не	5	5
180	может служить	4	5
181	на этом	4	5
182	в сторону	2	5
183	в той	6	5
184	как раз	10	5
185	говорить о	5	5
186	по своим	2	5
187	в ней	6	5
188	тем что	9	5
189	до конца	3	4
190	свое время	4	4
191	не могут	5	4
192	слова не	2	4
193	который по	2	4
194	а на	3	4
195	общения и	2	4
196	с той	2	4
197	не знают	2	4
198	подобного рода	4	4
199	и тем	7	4
200	может и	2	4
201	в современном	3	4
202	в свое	4	4
203	того или	6	4
204	может иметь	3	4
205	как это	6	4
206	и это	3	4
207	более того	2	4
208	на его	3	4
209	что не	10	4
210	в году	3	4
211	к жизни	2	4
212	аналогии с	3	4
213	что они	5	4
214	указать на	5	4
215	в первом	3	4
216	должны быть	4	4
217	для обозначения	2	4
218	во всяком	8	4
219	или иного	5	4
220	в наше	3	4
221	мы имеем	11	4
222	однако и	2	4
223	в результате	8	4
224	по преимуществу	3	4
225	этом случае	4	4
226	отличается от	2	4
227	по мере	3	4
228	тем не	10	4
229	я не	5	4
230	наше время	3	4
231	связи с	8	4
232	одним из	2	4
233	традиции в	3	4
234	в какой	7	4
235	есть в	6	4
236	но уже	6	4
237	в самом	20	4
238	будто бы	3	4
239	не есть	4	4
240	по себе	10	4
241	не для	2	4
242	в основании	2	4
243	на примере	3	4
244	или в	5	4
245	и есть	3	4
246	с ним	5	4
247	еще и	7	3
248	вопрос о	11	3
249	идет о	3	3
250	указывает на	2	3
251	различие между	2	3
252	в тех	4	3
253	этого рода	6	3
254	в форме	3	3
255	в иных	3	3
256	ли не	4	3
257	к которому	3	3
258	это и	6	3
259	роли в	3	3
260	языка и	16	3
261	в области	15	3
262	здесь как	3	3
263	в одно	2	3
264	в действительности	2	3
265	но оно	2	3
266	то она	2	3
267	как на	4	3
268	своего времени	2	3
269	мере в	7	3
270	в структуре	3	3
271	характер и	2	3
272	но как	2	3
273	о котором	4	3
274	но так	2	3
275	на том	4	3
276	они не	4	3
277	более или	3	3
278	об этом	4	3
279	и было	3	3
280	своей собственной	3	3
281	уже о	2	3
282	что на	2	3
283	на себя	3	3
284	не говоря	3	3
285	этого термина	4	3
286	но здесь	2	3
287	и он	4	3
288	еще одно	3	3
289	для этого	6	3
290	все эти	17	3
291	было бы	28	3
292	говоря уже	2	3
293	дело не	4	3
294	должна быть	6	3
295	как мы	2	3
296	недостаточно для	2	3
297	да и	5	3
298	и от	2	3
299	с этим	6	3
300	с их	3	3
301	хотя бы	19	3
302	в которой	7	3
303	и по	4	3
304	не просто	7	3
305	но также	6	3
306	как не	4	3
307	русский язык	9	3
308	в греческой	2	3
309	это разумеется	2	3
310	как у	2	3
311	заключается в	3	3
312	дело с	2	3
313	и более	3	3
314	или менее	3	3
315	но все	5	3
316	отношения к	2	3
317	не имеет	6	3
318	речи в	7	3
319	не случайно	7	3
320	этом в	2	3
321	когда он	4	3
322	на почве	2	3
323	уже в	5	3
324	всяком случае	8	3
325	том случае	3	3
326	слова в	7	3
327	то ни	2	3
328	или даже	2	3
329	в лингвистике	3	3
330	в большинстве	3	3
331	слова и	8	3
332	и что	11	3
333	однако не	9	3
334	и без	2	3
335	тем же	2	3
336	вместе с	8	3
337	в широком	2	2
338	через посредство	3	2
339	в отношении	2	2
340	к одному	2	2
341	очевидно что	4	2
342	как можно	2	2
343	его к	5	2
344	мы должны	2	2
345	всего лишь	3	2
346	лицом к	2	2
347	той мере	6	2
348	такова например	2	2
349	не имеют	3	2
350	за этим	2	2
351	такова что	2	2
352	вопроса о	7	2
353	в каждом	3	2
354	или о	2	2
355	как к	2	2
356	за счет	2	2
357	есть не	2	2
358	сами по	2	2
359	строится на	2	2
360	в науке	4	2
361	и при	3	2
362	о которых	2	2
363	в современной	3	2
364	к своему	2	2
365	самом деле	17	2
366	здесь можно	2	2
367	в чем	2	2
368	всего в	2	2
369	что даже	2	2
370	по существу	9	2
371	мы видели	3	2
372	так например	3	2
373	смысл в	2	2
374	не приходится	2	2
375	в г	3	2
376	а только	10	2
377	жизнь в	2	2
378	свидетельствует о	3	2
379	тех случаях	2	2
380	а потому	6	2
381	так в	2	2
382	ответ на	2	2
383	к такому	2	2
384	большинстве случаев	3	2
385	или меньшей	2	2
386	речь идет	4	2
387	большей части	2	2
388	что с	2	2
389	в собственном	2	2
390	всегда в	2	2
391	в значении	2	2
392	все это	10	2
393	свидетельствуют о	2	2
394	этого слова	8	2
395	выходит за	2	2
396	же как	3	2
397	на язык	4	2
398	вовсе не	18	2
399	но зато	2	2
400	по поводу	2	2
401	представление о	3	2
402	данного речевого	2	2
403	речи не	3	2
404	могла бы	2	2
405	тех же	2	2
406	том чтобы	9	2
407	же остается	2	2
408	утверждать что	2	2
409	время в	2	2
410	только то	2	2
411	что так	3	2
412	же это	2	2
413	тем более	2	2
414	должно быть	6	2
415	что она	5	2
416	это было	2	2
417	мы можем	2	2
418	целый ряд	8	2
419	себя самого	2	2
420	на деле	2	2
421	если бы	21	2
422	в первый	2	2
423	в языке	16	2
424	для того	23	2
425	и их	2	2
426	с этой	4	2
427	в последнем	2	2
428	понимать как	2	2
429	себе и	3	2
430	указания на	3	2
431	случаях когда	2	2
432	на фоне	3	2
433	при отсутствии	2	2
434	том и	3	2
435	не был	2	2
436	и должно	2	2
437	к языку	6	2
438	речи и	8	2
439	на этот	4	2
440	у него	3	2
441	не должно	2	2
442	ее в	2	2
443	на то	6	2
444	в самой	6	2
445	по большей	2	2
446	и с	11	2
447	целом и	2	2
448	но для	4	2
449	обратить внимание	4	2
450	из которых	3	2
451	большей или	2	2
452	которое было	2	2
453	в случае	2	2
454	не знаю	2	2
455	что было	2	2
456	случае если	3	2
457	он есть	3	2
458	только о	3	2
459	и только	2	2
460	в плоскости	2	2
461	в нашем	8	2
462	на основе	2	2
463	с помощью	12	2
464	как с	2	2
