N	2gram	Tiupa_Hudo	RusskieA
1	и в	23	79
2	в том	20	64
3	том что	9	59
4	что в	7	57
5	не только	20	41
6	в этом	12	33
7	и другие	2	33
8	состоит в	20	32
9	как бы	11	31
10	но и	14	31
11	как и	3	28
12	может быть	19	28
13	и на	3	28
14	одна из	2	24
15	о том	2	23
16	при этом	19	22
17	это не	4	20
18	а в	13	20
19	все это	2	18
20	потому что	3	17
21	то что	5	17
22	об этом	2	17
23	таким образом	3	17
24	один из	2	15
25	не менее	5	14
26	в них	2	14
27	как это	7	14
28	тем не	3	14
29	и не	16	14
30	и что	4	14
31	и по	2	13
32	не может	9	13
33	еще не	4	13
34	как в	2	13
35	уже не	6	13
36	между собой	2	12
37	мы имеем	6	12
38	а на	5	11
39	а затем	2	11
40	далеко не	4	11
41	его в	4	10
42	так и	12	10
43	между тем	4	10
44	что и	2	10
45	а также	6	10
46	представляет собой	11	10
47	или в	2	10
48	о чем	3	9
49	но в	10	9
50	к жизни	2	9
51	то же	12	9
52	но не	13	9
53	так же	2	8
54	того что	5	8
55	одно из	2	8
56	как уже	3	8
57	в данном	4	8
58	того чтобы	5	8
59	их в	3	8
60	связи с	3	8
61	не все	2	8
62	во всех	3	8
63	подобно тому	3	8
64	ее в	2	8
65	для того	5	8
66	в этих	4	8
67	тому как	3	8
68	в своем	4	7
69	начиная с	2	7
70	не в	9	7
71	а с	2	7
72	к нему	3	7
73	из этих	3	7
74	и как	4	7
75	только в	7	7
76	а не	13	7
77	в этой	2	6
78	на этом	2	6
79	в их	5	6
80	не всегда	2	6
81	тому что	2	6
82	к тому	4	6
83	в нем	6	6
84	так в	4	6
85	в году	2	6
86	с ними	2	6
87	все эти	2	6
88	в качестве	31	6
89	но она	2	6
90	в одном	3	6
91	что она	2	6
92	и о	4	6
93	и более	2	6
94	приводит к	6	6
95	в таком	3	6
96	и потому	2	5
97	что он	5	5
98	прежде всего	5	5
99	и др	2	5
100	в свою	3	5
101	в то	8	5
102	в целом	3	5
103	тогда как	15	5
104	в связи	3	5
105	например в	4	5
106	в его	11	5
107	как правило	3	5
108	не с	2	5
109	и для	3	5
110	с другой	9	5
111	входит в	4	5
112	и к	3	5
113	отнюдь не	2	5
114	или даже	3	5
115	с ним	2	5
116	и ее	3	4
117	в глаза	2	4
118	своего рода	9	4
119	отличие от	7	4
120	не столько	7	4
121	могут быть	5	4
122	не на	5	4
123	во всей	3	4
124	этого слова	2	4
125	в основе	7	4
126	по своему	3	4
127	дело не	2	4
128	несмотря на	2	4
129	не просто	2	4
130	в отличие	7	4
131	именно в	2	4
132	на основе	2	4
133	но он	3	4
134	никогда не	2	3
135	чтобы не	2	3
136	в форме	4	3
137	то есть	26	3
138	это и	2	3
139	в виду	5	3
140	в одно	2	3
141	или менее	6	3
142	и это	2	3
143	более или	6	3
144	точки зрения	11	3
145	в области	8	3
146	в какой	2	3
147	и некоторые	2	3
148	в ее	6	3
149	в своей	7	3
150	свою очередь	2	3
151	место в	5	3
152	хотя и	4	3
153	имеет место	3	3
154	и то	4	3
155	с другими	5	3
156	по отношению	10	3
157	и наоборот	2	3
158	в которой	3	3
159	если бы	3	3
160	жизни в	2	3
161	а именно	3	3
162	отношению к	10	3
163	с одной	3	3
164	есть в	3	3
165	слова в	3	3
166	в русской	3	3
167	из которых	2	3
168	с точки	3	3
169	сводится к	11	3
170	здесь не	2	3
171	и его	12	3
172	быть и	2	3
173	при котором	2	3
174	и притом	3	2
175	в себе	13	2
176	не как	2	2
177	в силу	4	2
178	отношение к	7	2
179	должен быть	2	2
180	одним из	2	2
181	и тем	4	2
182	он должен	3	2
183	между ними	5	2
184	ни одно	2	2
185	в частности	18	2
186	в момент	3	2
187	самом деле	2	2
188	для такого	2	2
189	тот кто	2	2
190	что каждый	2	2
191	одной стороны	3	2
192	в состав	6	2
193	не принадлежат	2	2
194	между двумя	2	2
195	себя и	3	2
196	случае не	2	2
197	можно сказать	6	2
198	который в	2	2
199	для обозначения	2	2
200	для него	5	2
201	с его	6	2
202	и состоит	3	2
203	сказать что	4	2
204	не сами	2	2
205	он не	4	2
206	право на	2	2
207	другой стороны	6	2
208	ту или	2	2
209	тем более	2	2
210	в равной	2	2
211	не является	5	2
212	с этой	3	2
213	в пределах	3	2
214	не могло	2	2
215	в жизни	3	2
216	вытекает из	2	2
217	не случайно	3	2
218	за пределами	3	2
219	в чем	2	2
220	что такое	2	2
221	или иную	2	2
222	оно не	2	2
223	но на	2	2
224	встречаются в	2	2
225	по себе	2	2
226	к другому	2	2
227	значения и	2	2
228	из этого	2	2
229	в противном	2	2
230	говорить о	4	2
231	и особенно	2	2
232	но их	3	2
233	у него	2	2
234	в нашем	2	2
235	равной степени	2	2
