N	3gram	Bakhtin_Fr	Freidism
1	с точки зрения	4	15
2	по отношению к	3	11
3	в самом деле	3	10
4	в том что	4	9
5	как мы видели	4	8
6	и прежде всего	2	7
7	в то же	12	6
8	то же время	12	6
9	в большинстве случаев	9	5
10	как мы уже	4	5
11	мы уже указывали	2	4
12	на первый план	2	4
13	в этом отношении	3	4
14	сам по себе	2	4
15	и до конца	4	4
16	в свою очередь	3	4
17	все то что	3	3
18	но в то	3	3
19	о том что	4	3
20	в следующей главе	6	3
21	так и в	3	3
22	до сих пор	3	3
23	и с помощью	2	2
24	это прежде всего	3	2
25	а следовательно и	2	2
26	таким образом в	2	2
27	в другом месте	3	2
28	в предыдущей главе	2	2
29	в конце концов	5	2
30	с одной стороны	3	2
31	а также и	3	2
32	в чем же	2	2
33	и по отношению	2	2
34	в его целом	2	2
