N	2gram	Berdyaev_V	Freidism
1	и не	20	34
2	и в	16	28
3	в этом	4	28
4	прежде всего	2	26
5	в его	4	25
6	как бы	5	19
7	то что	9	17
8	так как	9	15
9	все эти	3	15
10	так и	4	14
11	в своей	3	14
12	с ним	2	14
13	во всех	3	13
14	и все	4	13
15	но в	3	13
16	как и	4	13
17	и потому	7	12
18	том что	2	12
19	что он	4	12
20	ни в	3	12
21	для него	2	12
22	все это	5	12
23	только в	2	11
24	никогда не	3	10
25	не только	2	10
26	но и	5	10
27	не в	3	10
28	в том	3	10
29	все что	4	10
30	один из	2	10
31	тот же	3	10
32	конечно не	2	10
33	могут быть	2	9
34	в чем	3	9
35	уже не	2	9
36	мы не	2	9
37	а не	7	9
38	во всяком	2	9
39	с его	3	9
40	еще не	8	8
41	а в	2	8
42	в ней	4	8
43	не могут	2	7
44	в жизни	3	7
45	что в	3	7
46	хотя бы	3	7
47	и для	3	7
48	того что	5	7
49	но не	2	7
50	что все	4	7
51	в нем	4	7
52	жизни и	3	7
53	но мы	2	6
54	человека и	6	6
55	к тому	3	6
56	и что	3	6
57	в этих	3	5
58	что и	3	5
59	ее в	2	5
60	тому что	3	5
61	это не	2	5
62	того чтобы	2	5
63	не было	3	5
64	говорить о	4	5
65	в себя	2	5
66	одна из	2	4
67	его к	2	4
68	но это	3	4
69	в первый	3	4
70	в последнем	2	4
71	и за	2	4
72	в котором	4	4
73	потому что	4	4
74	личности и	3	4
75	нет и	2	4
76	мы и	2	4
77	в истории	8	4
78	и то	2	3
79	в силах	4	3
80	как не	3	3
81	не так	2	3
82	оно не	3	3
83	их в	3	3
84	на себя	5	3
85	что мы	4	3
86	в них	3	3
87	для них	2	3
88	и есть	4	3
89	и сам	2	3
90	между тем	2	3
91	да и	2	2
92	самого себя	2	2
93	к личности	4	2
94	по пути	5	2
95	бы и	3	2
96	должно быть	3	2
97	превращается в	3	2
98	его и	2	2
99	в конце	3	2
100	человека как	2	2
101	для нас	2	2
102	его не	2	2
103	должна быть	3	2
104	а с	2	2
105	от этих	2	2
106	всех людей	3	2
107	в мире	5	2
108	в прошлом	2	2
109	от этого	3	2
110	не имеет	3	2
111	не есть	6	2
112	они и	2	2
113	и теперь	2	2
114	в стихии	2	2
115	и во	2	2
116	не к	2	2
117	и они	3	2
118	мира в	2	2
119	все тот	2	2
