N	3gram	Bakhtin_fo	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	9	6
4	для того чтобы	11	5
5	до сих пор	4	5
6	друг с другом	5	5
7	в том числе	7	5
8	но все же	3	4
9	к тому же	2	4
10	о том что	2	4
11	том числе и	4	4
12	так же как	2	3
13	в том что	4	3
14	в связи с	12	3
15	и в этом	2	2
16	между этими двумя	3	2
17	в то же	10	2
18	той или иной	3	2
19	может быть и	4	2
20	в значительной мере	2	2
21	то же время	13	2
22	с самого начала	3	2
23	друг на друга	4	2
24	в этом отношении	5	2
25	по сравнению с	3	2
