N	3gram	Tiupa_Hudo	Problema
1	тем не менее	6	56
2	о том что	14	39
3	в том что	15	37
4	и т д	5	33
5	то же самое	3	30
6	в связи с	3	29
7	в данном случае	3	28
8	с точки зрения	5	25
9	содержит в себе	2	23
10	на то что	2	19
11	для того чтобы	2	17
12	в то же	11	17
13	до сих пор	3	14
14	как будто бы	3	14
15	можно было бы	5	13
16	того или иного	4	13
17	не может быть	5	12
18	и в этом	3	12
19	так или иначе	3	12
20	с одной стороны	4	11
21	не только не	3	10
22	не только в	4	10
23	что же касается	2	9
24	то и другое	2	9
25	только в том	4	8
26	о том как	4	7
27	только потому что	2	7
28	в самом деле	5	6
29	в этом отношении	4	6
30	же как и	2	5
31	и о том	2	5
32	та или иная	4	5
33	в первую очередь	2	5
34	так же как	2	5
35	пока еще не	2	5
36	друг от друга	2	4
37	все же не	2	4
38	несет на себе	2	4
39	ту или иную	2	4
40	в это время	2	4
41	но все же	2	4
42	связи с этим	2	4
43	на том что	2	4
44	подобно тому как	4	4
45	в русской литературе	3	3
46	но в то	3	3
47	к тому что	8	3
48	и в то	2	3
49	если бы не	2	3
50	как и в	5	3
51	но еще и	2	3
52	только тем что	2	3
53	том что в	4	3
54	в том случае	2	2
55	по отношению к	15	2
56	что он не	3	2
57	и в самом	4	2
58	как раз в	2	2
59	и это не	2	2
60	но тем не	2	2
61	и т п	10	2
62	не только для	2	2
