N	3gram	Tiupa_Anal	StatiiOP
1	в том что	12	47
2	о том что	7	29
3	в этом отношении	3	24
4	с точки зрения	2	14
5	во всяком случае	6	13
6	с другой стороны	7	13
7	не может быть	2	11
8	в то же	7	9
9	то же время	7	9
10	дело в том	3	9
11	тем не менее	3	8
12	не только в	5	8
13	том что он	2	7
14	в данном случае	11	7
15	по крайней мере	5	6
16	по отношению к	9	6
17	не только не	3	6
18	речь идет о	2	6
19	что он не	2	5
20	в свое время	4	5
21	в одной из	2	5
22	но и в	2	5
23	в том чтобы	2	5
24	тем или иным	2	4
25	с одной стороны	3	4
26	так или иначе	5	4
27	того или иного	5	4
28	в русской литературе	5	3
29	можно сказать что	2	3
30	в известном смысле	2	3
31	к тому же	7	3
32	состоит в том	2	3
33	в значительной степени	3	3
34	в каждом отдельном	2	2
35	каждом отдельном случае	2	2
36	сам по себе	2	2
37	одних и тех	2	2
38	как и в	6	2
39	той или иной	6	2
40	в отличие от	5	2
41	в русской поэзии	2	2
42	и тех же	2	2
43	в сочетании с	4	2
44	и то что	2	2
45	в свою очередь	7	2
46	в той или	2	2
47	в первой строфе	4	2
