N	2gram	Bakhtin_Pr	Tragedij
1	и в	83	18
2	и оскорбленных	2	17
3	униженных и	2	16
4	в романе	9	10
5	в бесах	3	9
6	в году	2	9
7	в этом	24	9
8	не только	14	8
9	и не	41	7
10	достоевский в	3	7
11	он сам	5	7
12	и на	27	7
13	как бы	27	7
14	и с	10	7
15	может быть	23	7
16	же время	8	6
17	что он	6	6
18	но в	12	6
19	и его	13	6
20	в образе	3	6
21	у него	5	6
22	это очень	5	5
23	несмотря на	3	5
24	у достоевского	30	5
25	что это	2	5
26	к жизни	2	5
27	все же	3	5
28	это не	10	5
29	то же	10	5
30	как и	13	5
31	в дальнейшем	8	5
32	так и	9	5
33	не может	18	5
34	а я	3	5
35	в то	8	5
36	что в	5	4
37	еще не	10	4
38	в целом	3	4
39	но и	16	4
40	прежде всего	20	4
41	об этом	3	4
42	том что	9	4
43	в этой	3	4
44	и что	3	4
45	так же	4	4
46	и все	14	4
47	все это	11	4
48	в нем	21	4
49	что я	2	4
50	то что	14	4
51	но это	7	4
52	что достоевский	2	4
53	я не	6	4
54	и даже	5	4
55	в себе	10	4
56	этот образ	2	4
57	один из	7	3
58	своего рода	7	3
59	в мире	8	3
60	уже в	3	3
61	тем самым	2	3
62	к нему	3	3
63	в своем	2	3
64	при этом	6	3
65	в его	15	3
66	все эти	9	3
67	достоевского в	12	3
68	и он	5	3
69	но главное	2	3
70	о чем	2	3
71	с ее	3	3
72	как будто	3	3
73	должно быть	4	3
74	как в	10	3
75	как это	2	3
76	жизнь и	3	3
77	то есть	86	3
78	романа и	4	3
79	в конце	5	3
80	с ним	3	3
81	никогда не	10	2
82	в рассказе	2	2
83	в самом	7	2
84	и то	2	2
85	ивана карамазова	4	2
86	до конца	3	2
87	одна из	9	2
88	друг друга	7	2
89	тем что	2	2
90	перед нами	17	2
91	в одном	4	2
92	его в	4	2
93	раз и	2	2
94	ничего не	8	2
95	не могут	4	2
96	в ее	3	2
97	но эта	2	2
98	что все	3	2
99	вряд ли	2	2
100	к тому	2	2
101	а как	4	2
102	говорит о	2	2
103	о том	3	2
104	роман достоевского	2	2
105	что и	4	2
106	ни в	4	2
107	не в	10	2
108	это был	2	2
109	для достоевского	5	2
110	и здесь	4	2
111	это уже	2	2
112	потому что	9	2
113	и наказании	4	2
114	между этими	2	2
115	настасья филипповна	4	2
116	в известной	3	2
117	к области	2	2
118	как у	5	2
119	в таком	3	2
120	еще раз	6	2
121	он не	5	2
122	и ее	8	2
123	ничем не	3	2
124	бы и	3	2
125	уже не	5	2
126	из самых	3	2
127	что она	2	2
128	и это	3	2
129	если б	7	2
130	этого романа	3	2
131	знает что	2	2
132	личности и	2	2
133	но они	5	2
134	xix веке	3	2
135	в преступлении	4	2
136	из своих	3	2
137	в том	22	2
138	и до	6	2
139	романах достоевского	7	2
140	не за	3	2
141	преступлении и	4	2
142	но при	2	2
143	степана трофимовича	2	2
144	не был	3	2
145	он и	2	2
146	с его	4	2
147	во сне	7	2
148	отношение к	14	2
