N	3gram	Vinokur_St	DiskursI
1	в том что	29	28
2	по отношению к	3	17
3	с одной стороны	2	14
4	не может быть	5	12
5	в данном случае	7	12
6	то же время	5	10
7	о том что	19	9
8	в то же	5	8
9	в этом отношении	13	8
10	как и в	2	7
11	по крайней мере	2	6
12	так и в	5	6
13	с точки зрения	10	6
14	к тому же	2	6
15	что же касается	3	5
16	в значительной степени	2	5
17	не только в	4	5
18	с другой стороны	8	5
19	в первую очередь	2	5
20	дело в том	7	5
21	в свое время	3	4
22	и мн др	3	4
23	тем не менее	4	4
24	не в том	3	4
25	в этом случае	3	4
26	более или менее	2	3
27	это прежде всего	2	3
28	том что в	4	3
29	в борисе годунове	19	3
30	говоря уже о	2	3
31	в том числе	3	3
32	том числе и	2	3
33	во всяком случае	8	3
34	в одной из	3	3
35	того или иного	4	3
36	в обоих случаях	2	3
37	не говоря уже	2	3
38	бы то ни	2	2
39	сами по себе	2	2
40	речь идет о	3	2
41	и тем же	2	2
42	а также и	2	2
43	тем или иным	3	2
44	но и в	2	2
45	в той мере	2	2
46	мере в какой	3	2
47	с самого начала	3	2
48	и в том	3	2
49	только в том	3	2
50	одним и тем	2	2
51	той мере в	2	2
52	обратить внимание на	3	2
53	в одном из	4	2
54	и то что	2	2
