N	3gram	Tiupa_Vved	Vvedenie
1	в том что	10	15
2	о том что	6	13
3	не может быть	6	10
4	тем не менее	3	9
5	мере в какой	2	6
6	в то же	5	6
7	в той мере	2	6
8	в самом деле	2	6
9	то же время	4	6
10	той мере в	2	6
11	во всяком случае	3	5
12	с другой стороны	2	5
13	в том чтобы	2	5
14	не только в	3	4
15	в данном случае	15	4
16	в этом отношении	7	4
17	с одной стороны	9	4
18	по отношению к	11	4
19	в отличие от	11	4
20	можно было бы	2	4
21	то же самое	2	3
22	той или иной	4	3
23	одной стороны и	3	3
24	как мы видели	3	3
25	состоит в том	2	2
26	что же касается	2	2
27	подобно тому как	3	2
28	а также и	2	2
29	не в том	3	2
30	в соответствии с	8	2
31	как будто бы	3	2
32	обратим внимание на	2	2
33	в этих случаях	2	2
34	в свою очередь	5	2
