N	2gram	Savitsky_E	Otkroven
1	и в	37	19
2	но и	14	13
3	и не	14	13
4	в этом	12	12
5	не только	18	11
6	не в	5	11
7	а не	2	11
8	может быть	6	11
9	и все	2	10
10	вопрос о	4	10
11	никогда не	3	9
12	потому что	3	9
13	прежде всего	9	9
14	в его	2	7
15	он не	2	7
16	как и	7	6
17	а в	2	5
18	в россии	5	5
19	в том	11	5
20	в самом	4	5
21	то что	6	5
22	в этой	2	5
23	что в	21	4
24	он сам	2	4
25	того чтобы	6	4
26	т е	9	4
27	не может	9	4
28	в себе	9	3
29	и от	3	3
30	о том	3	3
31	к нему	2	3
32	не могут	2	3
33	было бы	8	3
34	для того	6	3
35	в этих	2	3
36	в своих	2	3
37	когда он	3	3
38	только одно	2	3
39	чем на	2	3
40	как бы	6	3
41	хотя бы	15	3
42	могут быть	2	3
43	того что	7	3
44	и то	2	2
45	сказать что	4	2
46	можно ли	3	2
47	и на	6	2
48	с тем	3	2
49	что же	2	2
50	россии в	4	2
51	и для	3	2
52	что все	2	2
53	не имеет	4	2
54	и с	2	2
55	что и	3	2
56	ее в	3	2
57	и потому	5	2
58	в ее	8	2
59	в других	2	2
60	в своем	14	2
61	тем что	3	2
62	но в	14	2
63	том что	6	2
64	жизни в	3	2
65	в своей	8	2
66	потребность в	3	2
67	так как	7	2
68	по себе	4	2
69	в истории	2	2
70	не есть	2	2
71	и к	3	2
72	так и	10	2
73	к ней	4	2
74	хотя и	2	2
75	всего в	2	2
76	чем в	4	2
