N	3gram	Vinokur_Vv	StatiiOP
1	в том что	15	47
2	и т д	39	32
3	о том что	13	29
4	в этом отношении	4	24
5	для того чтобы	22	19
6	и т п	5	19
7	до сих пор	7	19
8	с точки зрения	4	14
9	во всяком случае	5	13
10	с другой стороны	5	13
11	не может быть	10	11
12	в то же	6	9
13	в самом деле	6	9
14	то же время	6	9
15	можно было бы	4	9
16	вместе с тем	3	9
17	дело в том	3	9
18	тем не менее	9	8
19	не только в	4	8
20	в данном отношении	2	7
21	в данном случае	4	7
22	по этому поводу	3	7
23	не в том	2	7
24	в конце концов	2	7
25	заключается в том	3	7
26	но также и	10	7
27	и в этом	4	7
28	но все же	4	7
29	по крайней мере	4	6
30	по отношению к	4	6
31	в том отношении	3	6
32	вопрос о том	5	6
33	т д но	5	6
34	в этом смысле	10	6
35	что же касается	2	5
36	в начале xix	2	5
37	после того как	2	5
38	с тем что	3	5
39	в свое время	3	5
40	обратить внимание на	2	5
41	в том чтобы	5	5
42	в применении к	6	4
43	и в самом	3	4
44	жизни и творчества	2	4
45	тем или иным	2	4
46	в другом месте	2	4
47	в связи с	2	4
48	мере в какой	6	4
49	с одной стороны	4	4
50	и в том	4	4
51	на вопрос о	4	4
52	так или иначе	4	4
53	том отношении что	3	4
54	по меньшей мере	2	3
55	т е в	4	3
56	всяком случае не	2	3
57	в прямом смысле	4	3
58	можно сказать что	3	3
59	т е не	2	3
60	в известном смысле	3	3
61	только в том	2	3
62	той мере в	6	3
63	не говоря уже	2	3
64	ответ на вопрос	2	3
65	в этом случае	6	3
66	вовсе не только	2	3
67	и тем не	3	3
68	потому что он	2	3
69	в той мере	6	3
70	состоит в том	2	3
71	принять во внимание	2	3
72	но вместе с	2	2
73	нельзя не признать	3	2
74	то же самое	3	2
75	как мы видели	3	2
76	вовсе не в	2	2
77	сам по себе	2	2
78	в целом ряде	2	2
79	но в то	3	2
80	может быть и	2	2
81	на этой почве	2	2
82	а также и	2	2
83	в чем же	3	2
84	той или иной	3	2
85	а между тем	2	2
86	в отличие от	4	2
87	по тем или	2	2
88	что в общем	2	2
89	на этот вопрос	5	2
90	здесь не место	2	2
91	в зависимости от	3	2
92	точно так же	2	2
93	хотя бы и	2	2
94	чтобы можно было	2	2
95	не до конца	2	2
96	сомнений в том	2	2
97	что в этом	2	2
98	что в нем	2	2
99	и то что	3	2
100	в свою очередь	2	2
