N	2gram	Berdyaev_V	Formalny
1	и в	16	95
2	и не	20	78
3	в этом	4	61
4	так и	4	50
5	в нем	4	42
6	в его	4	42
7	прежде всего	2	41
8	как и	4	39
9	и т	2	37
10	не в	3	35
11	а не	7	34
12	но и	5	33
13	не только	2	30
14	в том	3	26
15	то что	9	25
16	в своей	3	24
17	лишь в	3	24
18	в ней	4	23
19	в истории	8	21
20	как бы	5	21
21	что в	3	21
22	с тем	2	20
23	не могут	2	19
24	все это	5	19
25	хотя бы	3	19
26	т д	2	19
27	и все	4	18
28	все эти	3	18
29	должна быть	3	18
30	с его	3	18
31	только в	2	18
32	во всяком	2	16
33	потому что	4	16
34	но в	3	15
35	так как	9	15
36	должно быть	3	15
37	во всех	3	15
38	что он	4	14
39	еще не	8	14
40	в жизни	3	14
41	и потому	7	14
42	жизни и	3	14
43	того что	5	13
44	а в	2	13
45	могут быть	2	13
46	для них	2	13
47	что и	3	13
48	тем что	2	13
49	ни в	3	13
50	того чтобы	2	12
51	к тому	3	12
52	и для	3	12
53	оно не	3	12
54	уже не	2	12
55	никогда не	3	11
56	но не	2	11
57	что они	7	11
58	для него	2	11
59	между тем	2	11
60	не есть	6	10
61	мы не	2	10
62	не было	3	10
63	и теперь	2	10
64	конечно не	2	10
65	но это	3	9
66	говорить о	4	9
67	это не	2	8
68	в них	3	8
69	том что	2	7
70	в первый	3	7
71	от этого	3	7
72	ее и	2	6
73	в конце	3	6
74	его и	2	6
75	и это	2	6
76	тому что	3	6
77	в этих	3	6
78	его не	2	6
79	один из	2	6
80	ее в	2	6
81	они и	2	6
82	нет и	2	6
83	их в	3	6
84	с ним	2	6
85	всего в	2	5
86	от этих	2	5
87	не так	2	5
88	то это	3	5
89	что не	4	5
90	хотя и	5	5
91	бы и	3	5
92	да и	2	5
93	и то	2	5
94	в мире	5	5
95	для нас	2	5
96	не имеет	3	5
97	в котором	4	5
98	и что	3	5
99	от него	2	4
100	является в	2	4
101	не будет	2	4
102	и во	2	4
103	и тогда	2	4
104	одна из	2	4
105	истории и	2	4
106	а к	2	4
107	как не	3	4
108	превращается в	3	4
109	в последнем	2	4
110	не к	2	4
111	значения и	2	4
112	что было	2	4
113	вместо того	2	4
114	мы и	2	4
115	тот же	3	3
116	мира в	2	3
117	в чем	3	3
118	в форме	2	3
119	не с	2	3
120	материалом для	2	3
121	человека и	6	2
122	превращаются в	2	2
123	не могли	2	2
124	они будут	4	2
125	а с	2	2
126	по этому	3	2
127	людей в	3	2
128	на этих	2	2
129	можно было	2	2
130	чтобы сделать	2	2
131	на земле	7	2
132	человека как	2	2
133	все равно	2	2
134	не создает	2	2
135	чтобы овладеть	2	2
136	что мы	4	2
137	они в	3	2
138	все что	4	2
139	и есть	4	2
