N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	12	18
2	не только	11	9
3	и что	5	8
4	в этом	21	8
5	и в	73	8
6	что в	14	7
7	но и	15	7
8	и все	19	7
9	то что	12	7
10	но в	12	6
11	как и	19	6
12	в котором	4	6
13	в начале	4	6
14	в нем	18	6
15	и с	17	6
16	о нем	3	6
17	все же	2	6
18	в романе	10	6
19	и даже	4	6
20	и не	13	5
21	не было	4	5
22	об этом	2	5
23	то же	16	5
24	в то	14	5
25	же время	12	5
26	у него	13	5
27	между тем	2	5
28	для нас	2	4
29	уже в	9	4
30	целый ряд	4	4
31	несмотря на	3	4
32	это не	7	4
33	в виду	4	4
34	все это	19	4
35	при этом	5	4
36	о том	13	4
37	в ней	10	4
38	как бы	15	4
39	так же	11	4
40	что он	8	4
41	в истории	3	4
42	с ним	6	4
43	может быть	5	4
44	человека в	3	3
45	и у	7	3
46	в том	13	3
47	в чем	3	3
48	одним из	3	3
49	его в	3	3
50	далеко не	2	3
51	что у	3	3
52	и во	4	3
53	в своем	13	3
54	том что	8	3
55	в его	18	3
56	в связи	3	3
57	и о	2	3
58	раз в	2	3
59	и его	18	3
60	и как	5	3
61	он был	7	3
62	он не	4	3
63	связи с	5	3
64	к этому	5	3
65	но он	8	3
66	я не	3	3
67	что есть	2	3
68	года он	2	3
69	в конце	9	3
70	с его	5	3
71	тем что	8	3
72	никогда не	6	2
73	в одну	4	2
74	и то	3	2
75	в них	14	2
76	уже не	2	2
77	в мире	3	2
78	одна из	7	2
79	и т.п	21	2
80	начиная с	3	2
81	место в	4	2
82	в него	4	2
83	в эти	2	2
84	в той	8	2
85	для него	7	2
86	и это	6	2
87	на первый	2	2
88	с точки	4	2
89	а в	10	2
90	человека с	2	2
91	а также	8	2
92	он сам	4	2
93	в этой	18	2
94	в своей	4	2
95	как раз	3	2
96	же в	2	2
97	и он	4	2
98	в себе	16	2
99	еще не	3	2
100	точки зрения	6	2
101	о чем	2	2
102	это в	4	2
103	таким образом	34	2
104	и ее	2	2
105	во время	12	2
106	на место	4	2
107	в свою	3	2
108	этот роман	2	2
109	их в	5	2
110	рядом с	9	2
111	в эту	2	2
112	не может	4	2
113	и образы	5	2
114	из них	6	2
115	в это	3	2
116	и стал	2	2
117	но это	3	2
118	к себе	3	2
119	не мог	2	2
120	этот момент	2	2
121	вместе с	9	2
122	отношение к	3	2
