N	2gram	Bakhtin_Fr	Freidism
1	и не	34	34
2	таким образом	5	34
3	точки зрения	10	31
4	не может	9	30
5	и пр	5	29
6	может быть	11	28
7	и в	105	28
8	в этом	22	28
9	прежде всего	26	26
10	в его	24	25
11	и его	24	22
12	мы можем	2	20
13	как бы	33	19
14	как мы	12	18
15	то что	7	17
16	вовсе не	25	16
17	так как	11	15
18	точка зрения	3	15
19	с точки	6	15
20	все эти	15	15
21	самом деле	3	14
22	так и	16	14
23	в своей	8	14
24	с ним	6	14
25	во всех	13	13
26	и все	7	13
27	но в	16	13
28	как и	15	13
29	по отношению	2	13
30	точку зрения	2	12
31	и потому	14	12
32	том что	9	12
33	то же	6	12
34	что он	5	12
35	мы видели	3	12
36	в самом	7	12
37	и наконец	2	12
38	для него	12	12
39	все это	16	12
40	сказать что	12	11
41	его в	7	11
42	отношению к	2	11
43	только в	16	11
44	никогда не	11	10
45	и с	8	10
46	за пределы	10	10
47	не только	24	10
48	но и	20	10
49	не в	4	10
50	он не	3	10
51	в том	17	10
52	мы уже	18	10
53	все что	2	10
54	один из	5	10
55	тот же	4	10
56	конечно не	2	10
57	мы должны	2	9
58	могут быть	4	9
59	к этому	2	9
60	совершенно не	5	9
61	и др	32	9
62	к нему	5	9
63	в чем	2	9
64	уже не	3	9
65	и на	25	9
66	во всяком	2	9
67	с его	9	9
68	все же	10	8
69	было бы	4	8
70	и вот	5	8
71	еще не	8	8
72	а в	4	8
73	в ней	7	8
74	на этом	2	8
75	всяком случае	2	8
76	при этом	10	8
77	так сказать	5	7
78	не могут	4	7
79	до конца	4	7
80	в жизни	7	7
81	в то	5	7
82	в себе	7	7
83	что в	4	7
84	хотя бы	2	7
85	и для	3	7
86	отношение к	9	7
87	роль в	6	7
88	не является	4	7
89	того что	3	7
90	на протяжении	9	7
91	и у	7	7
92	но не	7	7
93	более того	3	7
94	об этом	2	7
95	связь с	8	7
96	в нем	16	7
97	и к	7	7
98	из них	7	7
99	и прежде	4	7
100	жизни и	14	7
101	в этой	11	7
102	одно из	7	6
103	на самом	6	6
104	из этих	7	6
105	человека и	4	6
106	всех этих	10	6
107	не менее	2	6
108	для того	2	6
109	в таком	2	6
110	и о	4	6
111	в пределах	3	6
112	она не	2	6
113	к тому	3	6
114	можно сказать	4	6
115	зрения на	3	6
116	большинстве случаев	2	6
117	здесь в	14	6
118	как раз	3	6
119	же время	5	6
120	во время	14	6
121	учение о	2	6
122	в основе	8	6
123	по поводу	2	5
124	ничего не	3	5
125	в заключение	2	5
126	тех же	3	5
127	с их	7	5
128	и по	3	5
129	другими словами	2	5
130	от того	2	5
131	во второй	2	5
132	со всеми	2	5
133	между ними	4	5
134	в этих	6	5
135	не знает	6	5
136	конечно и	4	5
137	что и	2	5
138	ее в	2	5
139	в общем	4	5
140	в более	4	5
141	далеко не	6	5
142	в своих	8	5
143	в большинстве	2	5
144	это не	4	5
