N	2gram	Berdyaev_M	UchenyiS
1	и в	61	14
2	не только	42	10
3	а не	36	10
4	и не	26	8
5	прежде всего	18	8
6	то что	10	7
7	не может	39	7
8	в этом	34	7
9	может быть	42	6
10	то же	4	5
11	хотя бы	8	5
12	все это	6	5
13	но и	34	4
14	в этой	12	4
15	что такое	2	4
16	в россии	2	4
17	в их	4	4
18	конечно не	3	4
19	не о	2	3
20	у нас	13	3
21	для этого	3	3
22	это не	10	3
23	вряд ли	3	3
24	и то	2	3
25	в своей	18	3
26	все же	2	3
27	не как	4	3
28	как и	14	3
29	в то	2	3
30	но в	12	3
31	было бы	11	3
32	для него	28	3
33	в самом	15	2
34	в себе	12	2
35	и у	3	2
36	о чем	3	2
37	же не	2	2
38	нас в	3	2
39	что он	16	2
40	литературы и	2	2
41	но не	8	2
42	и для	7	2
43	если бы	5	2
44	более чем	3	2
45	не все	3	2
46	между тем	2	2
47	самом деле	2	2
48	только в	7	2
49	одним из	2	2
50	не есть	21	2
51	что она	5	2
52	ничего не	4	2
53	даже и	2	2
54	и с	6	2
55	что и	6	2
56	могут быть	2	2
57	не могут	6	2
58	сих пор	5	2
59	по себе	2	2
60	тем что	7	2
61	том что	7	2
62	а как	2	2
63	в его	10	2
64	пишет он	2	2
65	в том	9	2
66	что все	5	2
67	с его	6	2
68	должна быть	7	2
69	конце концов	3	2
70	его и	2	2
71	но это	8	2
72	не в	16	2
73	бы и	8	2
74	в конце	11	2
75	мы не	2	2
76	до сих	5	2
