N	2gram	Tiupa_Teor	UchenyiS
1	и в	24	14
2	не только	24	10
3	а не	14	10
4	и не	17	8
5	прежде всего	3	8
6	то что	6	7
7	не может	8	7
8	в этом	12	7
9	эстетического объекта	3	6
10	в искусстве	9	6
11	может быть	22	6
12	то же	12	5
13	художественного творчества	5	5
14	все это	2	5
15	в художественном	5	5
16	художественное произведение	3	5
17	в конечном	6	4
18	но и	14	4
19	в этой	3	4
20	конечном счете	6	4
21	что такое	2	4
22	с другой	9	4
23	в их	4	4
24	у нас	2	3
25	в частности	23	3
26	истории литературы	2	3
27	и т.д	4	3
28	не следует	4	3
29	это не	4	3
30	и то	3	3
31	в своей	8	3
32	как и	6	3
33	в то	9	3
34	но в	12	3
35	же время	8	3
36	произведения искусства	4	3
37	ни было	2	3
38	в области	7	3
39	бы то	2	3
40	то ни	2	3
41	другой стороны	6	3
42	для него	5	3
43	в самом	7	2
44	в себе	14	2
45	о чем	3	2
46	что он	4	2
47	к области	3	2
48	таким образом	3	2
49	но не	13	2
50	и для	3	2
51	если бы	3	2
52	противном случае	2	2
53	не все	3	2
54	между тем	5	2
55	самом деле	2	2
56	только в	9	2
57	одним из	3	2
58	этом смысле	3	2
59	и является	2	2
60	что она	2	2
61	не случайно	5	2
62	тех или	3	2
63	что и	2	2
64	искусства как	2	2
65	или иных	3	2
66	могут быть	5	2
67	не могут	2	2
68	это было	2	2
69	превращается в	2	2
70	по себе	2	2
71	том что	11	2
72	в сторону	3	2
73	в его	12	2
74	сводится к	12	2
75	в том	20	2
76	художественного произведения	5	2
77	с его	6	2
78	как раз	3	2
79	для всех	2	2
80	в противном	2	2
81	не в	9	2
82	в конце	2	2
83	в системе	2	2
84	говоря иначе	2	2
85	могли бы	2	2
86	в итоге	3	2
87	не столько	7	2
