N	3gram	Berdyaev_M	Marksizm
1	не может быть	22	25
2	по отношению к	4	15
3	в том что	3	14
4	и не может	2	12
5	в высшей степени	4	12
6	для того чтобы	4	11
7	до сих пор	5	11
8	может быть и	2	8
9	в отношении к	3	8
10	и те же	2	5
11	о том что	3	4
12	у нас не	2	4
13	в конце концов	3	3
14	одной и той	2	3
15	а не в	4	3
16	не могут быть	2	3
17	и той же	2	3
18	не только в	2	3
19	но и в	4	3
20	хотя бы и	2	3
21	не было бы	5	3
22	в значительной степени	2	3
23	и та же	2	2
24	а не только	3	2
25	прежде всего в	2	2
26	от того что	4	2
27	одна и та	2	2
28	что он не	3	2
29	как и в	2	2
30	между тем как	2	2
31	и в самом	3	2
32	с тем что	3	2
33	а не к	2	2
34	есть прежде всего	4	2
35	он не знает	2	2
36	это и есть	7	2
