N	3gram	Ircho_Kome	Narrotol
1	в том что	15	18
2	по отношению к	4	11
3	в отличие от	3	11
4	о том что	7	9
5	к тому же	9	9
6	в то же	11	8
7	тем не менее	3	8
8	в этом отношении	2	8
9	то же время	11	8
10	с одной стороны	4	6
11	состоит в том	2	6
12	и все же	2	5
13	для того чтобы	8	5
14	в свою очередь	10	5
15	во всяком случае	3	4
16	в конечном счете	2	4
17	то же самое	3	3
18	речь идет о	3	3
19	в связи с	3	3
20	в ответ на	4	3
21	на себя внимание	3	3
22	с точки зрения	6	3
23	едва ли не	4	3
24	в самом деле	13	3
25	до сих пор	12	3
26	обращает на себя	3	3
27	но все же	3	2
28	более или менее	2	2
29	он и не	2	2
30	но и здесь	2	2
31	хотя и не	2	2
32	на мой взгляд	2	2
33	и т п	4	2
34	на этот раз	2	2
35	и в то	2	2
36	как и всякий	2	2
