N	2gram	Tiupa_Anal	VLabPisa
1	таким образом	4	32
2	в этом	19	29
3	не только	40	26
4	и в	36	26
5	может быть	19	23
6	во сне	3	21
7	и не	14	20
8	т е	2	18
9	не может	3	17
10	в том	16	15
11	в его	12	15
12	этом отношении	3	14
13	в силу	2	14
14	прежде всего	7	13
15	все это	5	13
16	в частности	19	12
17	как это	7	12
18	в качестве	22	12
19	что в	15	11
20	с другой	10	11
21	из них	4	11
22	то же	7	10
23	не могут	2	10
24	но и	26	10
25	о том	9	10
26	к этому	3	9
27	об этом	3	9
28	для него	8	9
29	в своем	7	8
30	том что	19	8
31	не следует	5	8
32	говорит и	3	8
33	могут быть	4	8
34	другой стороны	7	8
35	все эти	2	8
36	было бы	6	8
37	только в	9	8
38	вместе с	3	8
39	очевидно что	2	7
40	это не	4	7
41	из этих	4	7
42	во всех	4	7
43	по отношению	9	7
44	в году	5	7
45	то что	5	7
46	отношению к	9	7
47	как и	27	7
48	в нем	3	7
49	в конечном	5	7
50	произведения в	4	7
51	не было	3	7
52	говорит о	3	7
53	же в	5	7
54	а не	16	7
55	произведения и	2	7
56	произведения как	4	6
57	не в	9	6
58	в то	8	6
59	в себе	7	6
60	он же	2	6
61	это и	4	6
62	все же	6	6
63	у него	2	6
64	в искусстве	3	6
65	так и	19	6
66	приводит к	5	6
67	один из	6	6
68	и его	18	6
69	бы и	2	6
70	между тем	8	6
71	никогда не	7	5
72	даже в	6	5
73	сказать что	2	5
74	в одном	4	5
75	конечном счете	5	5
76	перед нами	7	5
77	в результате	6	5
78	как говорит	4	5
79	в пределах	5	5
80	в их	7	5
81	не является	5	5
82	к тому	10	5
83	как бы	14	5
84	в них	4	5
85	в целом	8	5
86	же время	7	5
87	по поводу	5	4
88	одна из	6	4
89	и ее	3	4
90	роль в	5	4
91	ее в	2	4
92	что он	5	4
93	в романе	3	4
94	с тем	2	4
95	когда он	2	4
96	отнюдь не	7	4
97	в самом	7	4
98	как раз	8	4
99	в ее	5	4
100	с ними	2	4
101	в своей	12	4
102	во время	2	4
103	можно сказать	5	4
104	в этой	10	4
105	не удивительно	2	4
106	с его	15	4
107	и от	3	3
108	например в	2	3
109	удивительно что	2	3
110	и к	7	3
111	с этим	4	3
112	мы имеем	5	3
113	но как	4	3
114	и он	4	3
115	в форме	2	3
116	в значительной	3	3
117	в конце	6	3
118	его в	4	3
119	и как	5	3
120	тому как	3	3
121	видеть в	2	3
122	если бы	2	3
123	подобно тому	4	3
124	а всего	4	3
125	как о	3	3
126	и их	3	3
127	его не	3	3
128	того что	4	3
129	далеко не	8	3
130	имеет свою	2	3
131	что у	3	3
132	она не	3	3
133	а в	17	3
134	всего лишь	13	3
135	именно в	4	3
136	точки зрения	3	3
137	мира и	2	3
138	со своим	2	3
139	а вот	3	3
140	между ними	3	3
141	человека и	2	3
142	что не	3	3
143	жизни и	2	3
144	что и	10	3
145	сводится к	5	3
146	и по	3	3
147	или в	4	3
148	что они	3	3
149	данного произведения	2	3
150	в слове	5	3
151	вовсе не	2	3
152	в противоположность	3	3
153	не о	2	2
154	если в	3	2
155	от его	2	2
156	да и	3	2
157	произведения не	2	2
158	в стихах	2	2
159	или иной	9	2
160	и потому	3	2
161	того или	6	2
162	еще и	4	2
163	так сказать	2	2
164	о чем	5	2
165	одной стороны	3	2
166	крайней мере	5	2
167	можно было	2	2
168	вплоть до	5	2
169	в каждом	4	2
170	при всей	2	2
171	что она	3	2
172	о своем	4	2
173	из своих	2	2
174	в другом	3	2
175	а о	2	2
176	каждом отдельном	2	2
177	и даже	12	2
178	представления об	2	2
179	ли не	5	2
180	уже по	2	2
181	мысль о	3	2
182	в стихотворении	4	2
183	из многочисленных	2	2
184	все они	2	2
185	в особенности	4	2
186	не всегда	4	2
187	еще не	7	2
188	как у	3	2
189	а для	3	2
190	по крайней	5	2
191	у пушкина	3	2
192	в чем	2	2
193	с одной	3	2
194	сюжета и	2	2
195	не с	3	2
196	как известно	3	2
197	одной из	6	2
198	в жизни	2	2
199	красного и	3	2
200	том чтобы	2	2
201	но не	13	2
202	и для	4	2
203	не менее	9	2
204	но в	8	2
205	они не	2	2
206	в общем	4	2
207	к а	3	2
208	все его	2	2
209	в своих	3	2
210	пока еще	3	2
211	в ней	2	2
212	например как	2	2
213	к его	2	2
214	на этом	2	2
215	из которых	2	2
216	он и	4	2
217	не столько	4	2
218	что мы	2	2
219	с нею	2	2
220	только не	3	2
221	по себе	6	2
222	всяком случае	6	2
223	внимание на	4	2
224	человека в	3	2
225	а затем	2	2
226	он сам	2	2
227	о его	3	2
228	в противном	2	2
229	говорить о	6	2
230	и может	2	2
231	по его	4	2
232	он не	9	2
233	и сам	8	2
234	но с	3	2
235	что при	2	2
236	который в	4	2
237	хотя и	4	2
238	лишь в	9	2
239	во всяком	6	2
240	противном случае	2	2
241	дель арте	2	2
