N	3gram	Bakhtin_Pr	Literetu
1	в то же	3	21
2	то же время	3	21
3	в том что	3	21
4	по отношению к	19	12
5	с одной стороны	3	12
6	в данном случае	4	11
7	в отличие от	5	11
8	не может быть	11	11
9	в конечном счете	4	10
10	в этом отношении	2	10
11	с точки зрения	6	8
12	с другой стороны	4	7
13	не только в	2	6
14	тем не менее	3	5
15	и прежде всего	5	4
16	бы то ни	3	4
17	то ни было	2	4
18	и тем самым	2	4
19	и т п	13	3
20	то же самое	2	3
21	той или иной	2	3
22	на самом деле	3	3
23	в самом деле	3	3
24	и в частности	2	3
25	от эстетического объекта	2	3
26	в том же	2	3
27	для того чтобы	2	2
28	мы имеем дело	2	2
29	сказать и о	2	2
30	может и не	2	2
31	между тем как	5	2
32	но и в	2	2
33	можно было бы	3	2
34	эстетический объект в	5	2
35	эстетический объект и	4	2
