N	2gram	Nazirov_Tr	DiskursI
1	может быть	7	56
2	не только	8	49
3	и в	18	49
4	как и	5	47
5	при этом	3	46
6	в том	2	44
7	и не	7	44
8	то есть	3	41
9	том что	4	40
10	в этом	9	38
11	в себе	4	37
12	в частности	2	36
13	но и	4	35
14	своего рода	3	32
15	так и	5	28
16	отличие от	2	28
17	но в	6	28
18	не может	5	27
19	в отличие	2	27
20	как в	3	25
21	еще не	4	23
22	отнюдь не	3	23
23	все же	5	19
24	прежде всего	4	19
25	в нем	4	19
26	в данном	2	17
27	то же	5	17
28	в мире	3	17
29	в его	3	15
30	то что	4	15
31	о том	2	15
32	это не	5	14
33	не в	2	14
34	в целом	4	13
35	для него	3	13
36	как бы	7	13
37	данном случае	2	12
38	в своем	3	12
39	и все	4	12
40	и на	7	12
41	что в	4	11
42	с его	2	11
43	и как	3	11
44	столь же	2	11
45	же время	6	10
46	тем самым	3	9
47	в то	5	9
48	уже не	2	9
49	еще в	2	9
50	к тому	2	8
51	потому что	2	8
52	и даже	4	8
53	в одном	2	8
54	он не	2	8
55	перед нами	2	7
56	его в	2	7
57	о чем	3	7
58	и ее	2	7
59	в ходе	2	7
60	но это	4	7
61	что и	2	7
62	в этой	4	7
63	в рассказе	2	7
64	ни в	2	7
65	и его	6	7
66	никогда не	2	6
67	отношение к	2	6
68	что он	6	6
69	времени в	2	6
70	в ее	2	6
71	и то	2	6
72	одна из	2	6
73	ничего не	2	5
74	по словам	2	5
75	несмотря на	5	5
76	один из	3	5
77	было в	2	5
78	как будто	3	5
79	но при	2	5
80	с ее	3	5
81	но они	2	5
82	тем что	2	5
83	до конца	2	4
84	не могут	2	4
85	одном из	2	4
86	как это	3	4
87	и это	2	4
88	в году	9	4
89	к жизни	5	4
90	и до	2	4
91	в первом	2	4
92	я не	4	4
93	в самом	2	4
94	говорит о	2	4
95	с ним	3	4
96	вопрос о	2	3
97	об этом	4	3
98	в романе	10	3
99	и он	3	3
100	о его	2	3
101	все эти	3	3
102	тут же	2	3
103	не просто	2	3
104	как у	2	3
105	но все	2	3
106	не имеет	2	3
107	не случайно	2	3
108	уже в	3	3
109	ивана петровича	6	3
110	и сам	3	3
111	и что	4	3
112	в записках	2	2
113	от всего	2	2
114	друг друга	2	2
115	он всегда	4	2
116	к области	2	2
117	в основном	3	2
118	в душе	2	2
119	к нему	3	2
120	что с	3	2
121	все это	4	2
122	жизнью и	2	2
123	который в	2	2
124	по поводу	2	2
125	должно быть	3	2
126	что она	2	2
127	не был	2	2
128	у него	6	2
129	я к	2	2
130	и с	7	2
131	личности и	2	2
132	романа и	3	2
133	он сам	7	2
134	только о	2	2
135	чем он	2	2
136	а как	2	2
