N	2gram	Propp_Russ	SlovoVZh
1	не может	6	16
2	точки зрения	3	14
3	может быть	14	14
4	и его	2	13
5	как бы	18	13
6	и в	59	12
7	таким образом	10	12
8	в нашем	2	11
9	и не	6	10
10	так как	25	9
11	прежде всего	2	8
12	для нас	12	7
13	при этом	11	6
14	в том	33	6
15	в нем	3	6
16	только в	4	6
17	в ней	3	6
18	как в	10	5
19	в жизни	2	5
20	в виду	3	5
21	но в	5	5
22	том что	33	5
23	то же	6	5
24	как и	19	5
25	и следовательно	2	5
26	а не	3	5
27	то что	10	5
28	и др	4	5
29	отнюдь не	3	5
30	в этом	18	4
31	не только	28	4
32	на самом	3	4
33	его в	9	4
34	не в	2	4
35	все же	7	4
36	к нему	3	4
37	к материалу	2	4
38	и к	3	4
39	так и	8	4
40	и на	14	4
41	уже не	9	4
42	в них	10	3
43	о том	14	3
44	и для	3	3
45	или не	2	3
46	ее и	2	3
47	так называемой	3	3
48	не к	3	3
49	он должен	2	3
50	все эти	5	3
51	в котором	2	3
52	и наконец	2	3
53	так же	7	3
54	мы не	11	3
55	еще не	7	3
56	все это	12	3
57	только на	4	3
58	когда он	3	3
59	и ее	3	3
60	в некоторых	11	3
61	между тем	9	3
62	и с	12	3
63	не менее	3	3
64	с ним	2	3
65	быть и	3	3
66	в пределах	2	3
67	и по	10	3
68	и пр	4	3
69	того что	6	3
70	тем не	3	3
71	и более	3	3
72	но и	20	3
73	в особенности	3	2
74	и то	2	2
75	в его	3	2
76	данном случае	8	2
77	имеет место	3	2
78	до конца	5	2
79	и здесь	3	2
80	что в	35	2
81	к ним	4	2
82	а к	3	2
83	но тем	2	2
84	как уже	6	2
85	место в	2	2
86	ничего не	4	2
87	и те	3	2
88	как не	2	2
89	что и	8	2
90	это не	14	2
91	и все	4	2
92	кроме того	3	2
93	там где	3	2
94	с точки	3	2
95	она не	4	2
96	но все	3	2
97	к слову	3	2
98	в своем	3	2
99	на все	3	2
100	в данном	7	2
101	его к	3	2
102	с другими	3	2
103	независимо от	3	2
104	мы имеем	7	2
105	и что	8	2
106	в то	3	2
107	себя и	2	2
108	уже в	2	2
109	окно и	3	2
110	с этой	2	2
111	в этих	3	2
112	влияние на	3	2
113	в основном	4	2
114	и другие	24	2
115	но это	5	2
116	в настоящее	3	2
117	в какой	3	2
118	такой же	3	2
119	как только	2	2
120	как на	2	2
121	и потому	3	2
122	весны и	2	2
123	его как	2	2
124	оно не	2	2
125	но не	7	2
126	как это	11	2
127	мы можем	2	2
128	могут быть	3	2
129	между собой	4	2
130	в форме	3	2
131	значения и	2	2
132	настоящее время	3	2
133	и так	2	2
134	какой степени	3	2
135	к этому	7	2
136	тогда когда	4	2
137	но что	2	2
138	вместе с	16	2
