N	3gram	Losev_Prob	TeoriaLi
1	в том что	13	10
2	по отношению к	2	10
3	в то же	2	8
4	с другой стороны	7	6
5	того или иного	2	6
6	так или иначе	3	5
7	в данном случае	5	5
8	для того чтобы	3	5
9	не может быть	2	5
10	с точки зрения	13	3
11	с одной стороны	5	3
12	в этом смысле	4	3
13	в том числе	2	3
14	тем не менее	8	3
15	той или иной	4	3
16	можно сказать что	4	3
17	тех или иных	2	3
18	в связи с	11	3
19	в свою очередь	2	3
20	то ни было	2	2
21	бы то ни	4	2
22	в русской литературе	3	2
23	в коем случае	3	2
24	в таком случае	2	2
25	этой точки зрения	2	2
26	а с другой	3	2
27	том что он	3	2
28	с этой точки	2	2
29	ни в коем	3	2
30	сама по себе	2	2
31	но в то	2	2
