N	2gram	Potebnia_M	StatiiOP
1	и в	48	103
2	в том	47	89
3	том что	28	77
4	в этом	19	76
5	что в	30	74
6	не только	32	60
7	и т	12	51
8	о том	7	47
9	но и	30	46
10	то что	37	44
11	что он	8	42
12	в его	6	42
13	и не	28	41
14	может быть	46	38
15	было бы	16	32
16	т д	5	32
17	в этой	3	31
18	вовсе не	13	31
19	все это	4	29
20	тем что	13	29
21	таким образом	24	28
22	а в	14	27
23	а не	22	27
24	но в	8	26
25	что это	6	25
26	так и	17	25
27	этом отношении	2	24
28	и его	4	24
29	все же	3	23
30	не в	24	23
31	так что	14	23
32	точки зрения	4	23
33	потому что	82	23
34	того что	24	22
35	в области	3	22
36	прежде всего	6	22
37	для того	8	22
38	у нас	2	22
39	в которой	9	22
40	как в	17	22
41	того чтобы	5	21
42	это не	2	20
43	до сих	4	20
44	т п	7	19
45	в то	16	19
46	сих пор	4	19
47	в своей	2	19
48	только в	29	19
49	об этом	4	18
50	не может	18	18
51	с другой	8	18
52	в котором	7	18
53	он не	4	18
54	самом деле	5	17
55	между прочим	5	17
56	в данном	3	17
57	как на	6	17
58	в самом	11	17
59	как бы	10	17
60	с этим	12	16
61	сказать что	8	16
62	в ней	11	16
63	если бы	20	16
64	в этих	2	16
65	с тем	9	15
66	как и	22	15
67	для него	14	15
68	например в	9	15
69	по поводу	8	15
70	другой стороны	4	15
71	из этих	10	15
72	и на	5	15
73	у него	3	15
74	была бы	5	14
75	так например	3	14
76	к тому	9	14
77	между тем	19	14
78	то же	35	14
79	в течение	2	14
80	но все	2	14
81	я думаю	2	14
82	с точки	3	14
83	и что	13	14
84	в своем	6	13
85	со стороны	4	13
86	а с	4	13
87	тому что	6	13
88	но это	9	13
89	в нем	16	13
90	во всяком	4	13
91	в языке	19	13
92	именно в	5	13
93	из них	11	13
94	всяком случае	3	13
95	в той	2	13
96	жизни и	3	13
97	вместе с	22	13
98	не менее	9	12
99	что они	2	12
100	так как	20	12
101	как например	2	12
102	хотя бы	3	12
103	что у	4	12
104	ни в	2	12
105	в своих	2	12
106	никогда не	2	11
107	вопрос о	2	11
108	и с	4	11
109	в них	9	11
110	и по	5	11
111	того как	10	11
112	это было	3	11
113	на то	6	11
114	не было	12	11
115	на самом	4	10
116	в каком	8	10
117	так же	6	10
118	ответ на	3	10
119	а как	2	10
120	на вопрос	2	10
121	связь с	4	10
122	не столько	2	10
123	в целом	5	10
