N	2gram	Propp_Isto	Mirosoze
1	и в	43	97
2	может быть	22	64
3	не только	28	63
4	в этом	25	55
5	но и	24	54
6	он не	11	53
7	а не	13	53
8	в нем	11	49
9	не может	8	49
10	у него	4	47
11	и не	16	39
12	никогда не	9	38
13	потому что	8	37
14	в ней	3	37
15	не было	2	36
16	не в	9	34
17	и есть	3	33
18	человека в	2	30
19	не есть	3	30
20	но он	8	30
21	прежде всего	3	29
22	как и	9	29
23	но в	15	27
24	и он	2	27
25	и это	5	25
26	в своей	4	25
27	и все	4	24
28	переходит в	4	24
29	у нас	7	24
30	в своем	2	23
31	ведет к	2	23
32	что в	29	23
33	что он	17	22
34	в себе	2	20
35	отношение к	4	20
36	как бы	5	19
37	в его	7	18
38	и потому	2	17
39	того что	8	17
40	в том	13	16
41	том что	12	16
42	то что	20	16
43	было бы	5	16
44	на земле	2	16
45	и его	10	16
46	в этой	7	15
47	не знает	2	15
48	в котором	5	15
49	нет ничего	3	14
50	она не	4	14
51	так как	13	14
52	в русском	3	13
53	и вот	3	13
54	друг друга	6	13
55	и на	7	13
56	это не	10	12
57	и у	6	12
58	к нему	12	12
59	в них	6	12
60	все это	4	12
61	но не	10	12
62	он сам	2	12
63	с тем	3	11
64	и там	6	11
65	но это	5	11
66	хотя бы	3	11
67	только в	8	11
68	как в	6	11
69	и для	3	11
70	в русской	5	11
71	уже не	11	11
72	и к	4	11
73	жизни и	2	11
74	так же	16	10
75	есть не	2	10
76	это и	4	10
77	один из	7	10
78	должна быть	2	10
79	то же	11	10
80	всю жизнь	2	10
81	связана с	4	10
82	не имеет	3	10
83	доходит до	2	9
84	есть и	7	9
85	он весь	2	9
86	а в	13	9
87	к тому	9	9
88	что и	17	9
89	я не	3	9
90	он уже	2	9
91	все что	4	9
92	в свою	5	9
93	не мог	2	9
94	вместе с	12	9
95	вопрос о	4	8
96	ничего не	12	8
97	от него	3	8
98	в человека	2	8
99	в этих	18	8
100	они не	4	8
101	что не	3	8
102	т е	36	8
103	не знал	2	8
104	себя в	2	8
105	тем что	8	8
106	о том	4	8
107	и с	10	8
108	те же	2	7
109	но если	2	7
110	он в	3	7
111	точки зрения	3	7
112	все еще	7	7
113	что она	8	7
114	на этом	5	7
115	в жизни	3	7
116	если он	2	7
117	во всем	3	7
