N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	3	47
2	по отношению к	19	26
3	не может быть	11	19
4	тем не менее	3	18
5	то же время	3	13
6	в то же	3	13
7	с другой стороны	4	12
8	и т п	13	11
9	для того чтобы	2	11
10	с одной стороны	3	10
11	но и в	2	9
12	не могут быть	2	9
13	на самом деле	3	8
14	так и в	2	8
15	можно сказать что	2	7
16	не только в	2	7
17	с точки зрения	6	7
18	в этом смысле	3	7
19	то же самое	2	6
20	может быть только	3	6
21	и проч но	3	5
22	между тем как	5	5
23	все то что	3	4
24	в данном случае	4	4
25	в том же	2	4
26	в противном случае	3	4
27	в этом отношении	2	4
28	бы то ни	3	3
29	в применении к	3	3
30	можно было бы	3	3
31	и тем самым	2	3
32	в большинстве случаев	5	3
33	со всех сторон	2	3
34	там где оно	2	2
35	и во всех	2	2
36	не во всех	2	2
37	то ни было	2	2
38	и не может	2	2
39	мы имеем дело	2	2
40	имеет дело с	4	2
41	может и не	2	2
