N	2gram	Tiupa_Vved	Psycholo
1	то что	9	193
2	и в	23	190
3	в том	21	163
4	что в	6	123
5	потому что	7	114
6	том что	16	113
7	и что	2	108
8	может быть	25	107
9	таким образом	6	102
10	в этом	27	100
11	то есть	13	97
12	в самом	6	82
13	как бы	8	80
14	того чтобы	2	78
15	что он	2	76
16	не только	32	75
17	на то	3	73
18	и не	24	73
19	что она	2	71
20	самом деле	6	70
21	не может	14	68
22	так же	2	63
23	было бы	4	56
24	если бы	10	55
25	то же	8	54
26	о том	7	54
27	при этом	43	52
28	как и	21	51
29	что и	6	50
30	а не	31	50
31	что это	2	49
32	заключается в	2	46
33	только в	9	46
34	в сущности	3	46
35	по себе	2	46
36	к тому	9	45
37	не в	12	45
38	в этой	2	43
39	ясно что	2	43
40	никогда не	6	42
41	и все	8	42
42	вместе с	2	41
43	как это	2	40
44	но и	31	40
45	как раз	5	39
46	того что	7	39
47	же самое	2	38
48	и это	2	37
49	и как	2	36
50	и его	9	34
51	все же	10	33
52	тому что	2	33
53	все это	3	32
54	в себе	15	32
55	в ней	5	31
56	мы не	6	31
57	в его	9	31
58	он не	6	31
59	для нас	4	31
60	никак не	2	30
61	как будто	6	30
62	как в	8	30
63	с одной	9	29
64	и для	8	29
65	одной стороны	9	29
66	в нем	9	29
67	что мы	2	28
68	что они	2	28
69	мы можем	2	28
70	в основе	6	27
71	с другой	10	27
72	в своих	5	27
73	а в	15	27
74	и на	5	27
75	совершенно не	2	26
76	и здесь	2	25
77	жизни и	8	25
78	до конца	5	24
79	в целом	4	24
80	указывает на	2	24
81	тем что	2	24
82	в своем	9	23
83	для этого	2	23
84	целый ряд	2	23
85	могут быть	5	23
86	один из	3	23
87	и даже	3	22
88	что у	4	22
89	между тем	3	22
90	всякий раз	2	22
91	в своей	10	21
92	как мы	5	21
93	и вот	3	21
94	в конце	3	21
95	том чтобы	2	21
96	в котором	11	21
97	в которых	2	21
98	той же	3	21
99	и только	2	21
100	в то	5	20
101	это не	7	20
102	дело с	4	20
103	несмотря на	2	20
104	мы имеем	8	20
105	другой стороны	3	20
106	в какой	4	19
107	у него	8	19
108	в одном	5	19
109	на самом	5	18
110	перед нами	13	18
111	но в	14	18
112	но не	9	18
113	вслед за	3	18
114	можно было	2	18
115	действующих лиц	2	18
116	и есть	2	18
117	в виду	3	17
118	одна из	5	17
119	иначе говоря	8	17
120	что для	2	17
121	во всяком	3	17
122	у нас	4	17
123	из этих	5	17
124	но это	4	17
125	и о	4	17
126	так и	14	16
127	не имеет	3	16
128	тому как	3	16
129	сводится к	6	16
130	и к	2	16
131	и тем	3	16
132	обратиться к	2	16
133	к этому	3	16
134	в таком	2	16
135	и потому	2	15
136	могли бы	3	15
137	еще не	8	15
138	далеко не	5	15
139	этого рассказа	2	15
140	о которых	2	15
141	только на	2	15
142	в частности	19	15
143	в них	4	15
144	во всех	2	15
145	в результате	5	15
146	для него	5	15
147	не можем	2	15
148	о котором	5	15
149	не просто	2	15
150	что на	4	14
151	очевидно что	2	14
152	это только	3	14
153	заключает в	4	14
154	должна быть	3	14
155	хотя бы	2	14
156	столь же	3	14
157	с ним	3	14
158	прежде всего	11	14
159	в области	5	14
160	при таком	2	14
161	бы в	4	14
162	этом отношении	7	14
163	в жизни	7	14
164	те же	2	14
165	всяком случае	3	14
166	или в	3	14
167	но он	2	14
168	должен был	2	13
169	как он	2	13
170	а с	4	13
171	могло бы	4	13
172	точка зрения	3	13
173	речь идет	3	13
174	отнюдь не	14	13
175	едва ли	4	13
176	со стороны	15	13
177	могла бы	3	13
178	и он	4	13
179	в той	5	13
180	идет о	3	12
181	состоит в	23	12
182	в этих	5	12
183	в рассказе	15	12
184	их в	3	12
185	может служить	4	12
186	в свою	5	12
187	ничего не	3	12
188	не менее	4	12
189	что не	2	12
190	например в	2	12
191	об этом	5	12
192	в конечном	2	12
193	и с	2	12
194	бы мы	2	11
195	отличие от	11	11
196	так например	2	11
197	подобно тому	3	11
198	исходя из	4	11
199	ли это	2	11
200	по поводу	5	11
201	мы видели	3	11
202	конечном счете	2	11
203	есть в	2	11
204	на этот	2	11
205	уже в	2	11
206	не было	5	11
207	данном случае	15	10
208	в другом	2	10
209	здесь мы	2	10
210	представить себе	2	10
211	не является	7	10
212	в одной	2	10
213	и у	2	10
214	в их	2	10
215	в данном	22	10
216	и от	3	10
217	тому же	6	10
218	бы не	3	9
219	тем самым	6	9
220	и ее	2	9
221	в силу	2	9
222	на его	2	9
223	и по	3	9
224	внимание на	4	9
225	на него	3	9
226	мысль о	2	9
227	каждого из	2	9
228	и наконец	2	9
229	не есть	2	9
230	должен быть	3	9
231	роль в	2	9
232	о чем	4	9
233	в чем	2	9
234	по своему	3	9
235	в него	2	9
236	ответ на	2	9
237	так сказать	2	9
238	можно сказать	6	9
239	которые не	2	9
240	с ее	3	9
241	героя и	5	9
242	в отличие	11	9
243	не к	4	9
244	и составляет	3	8
245	что же	6	8
246	и во	2	8
247	стороны и	4	8
248	наряду с	2	8
249	и более	5	8
250	в сознании	5	8
251	том как	4	8
252	бы и	4	8
253	место в	2	8
254	во время	3	8
255	к нему	2	8
256	будто бы	3	8
257	о ней	4	7
258	не как	2	7
259	свою очередь	5	7
260	от себя	2	7
261	они не	3	7
262	связи с	2	7
263	ее не	2	7
264	к которой	2	7
265	принадлежат к	4	7
266	что такое	23	7
267	все что	3	7
268	представляет собой	18	7
269	же в	3	7
270	она в	2	7
271	в нашем	9	7
272	а на	4	7
273	на другой	2	7
274	когда в	2	7
275	в качестве	18	7
276	имеет место	6	7
277	но при	7	7
278	к ним	4	7
279	в особенности	3	7
280	времени и	7	7
281	в течение	2	7
