N	2gram	Trubetskoy	UchenyiS
1	и в	24	14
2	не только	10	10
3	и не	9	8
4	прежде всего	3	8
5	то что	18	7
6	не может	18	7
7	в этом	13	7
8	может быть	17	6
9	и только	2	5
10	то же	4	5
11	хотя бы	4	5
12	все это	13	5
13	но и	11	4
14	в этой	7	4
15	с другой	6	4
16	в их	4	4
17	конечно не	3	4
18	у нас	3	3
19	в частности	2	3
20	для этого	7	3
21	и т.д	4	3
22	не следует	2	3
23	это не	3	3
24	очевидно что	3	3
25	пришлось бы	2	3
26	и то	4	3
27	все же	15	3
28	как и	10	3
29	в то	6	3
30	но в	5	3
31	этой области	4	3
32	же время	2	3
33	ни было	3	3
34	было бы	3	3
35	в области	4	3
36	бы то	3	3
37	то ни	4	3
38	другой стороны	5	3
39	для него	2	3
40	в самом	8	2
41	в себе	5	2
42	что мы	4	2
43	и у	4	2
44	мы и	2	2
45	же не	3	2
46	что он	7	2
47	на каждом	2	2
48	таким образом	34	2
49	но не	3	2
50	и для	6	2
51	если бы	8	2
52	между тем	12	2
53	самом деле	12	2
54	только в	6	2
55	одним из	4	2
56	не есть	4	2
57	что она	2	2
58	всех этих	4	2
59	и с	5	2
60	что и	7	2
61	при таком	2	2
62	на первый	2	2
63	а между	8	2
64	но даже	3	2
65	не могут	4	2
66	сих пор	15	2
67	том что	20	2
68	в сторону	3	2
69	в его	5	2
70	сводится к	2	2
71	все они	6	2
72	в том	31	2
73	что все	5	2
74	должна быть	6	2
75	конце концов	4	2
76	по существу	7	2
77	не в	9	2
78	в конце	4	2
79	до сих	15	2
