N	3gram	Bakhtin_sl	Istorich
1	и т д	7	142
2	с другой стороны	5	46
3	до сих пор	4	30
4	в этом случае	4	29
5	с одной стороны	7	28
6	в том что	4	25
7	не может быть	11	24
8	тем не менее	2	23
9	о том что	2	22
10	не только в	3	19
11	в связи с	2	17
12	в данном случае	3	15
13	по отношению к	2	14
14	в то время	2	13
15	то время как	2	13
16	как мы видели	2	12
17	но и в	2	12
18	во всех этих	2	11
19	как и в	2	10
20	можно было бы	2	10
21	более или менее	5	9
22	друг с другом	2	9
23	в зависимости от	4	8
24	во всяком случае	7	7
25	в большинстве случаев	11	7
26	так и в	5	5
27	в других случаях	2	5
28	в отличие от	12	5
29	и в особенности	5	4
30	с точки зрения	11	4
31	не только на	2	4
32	и то же	2	3
33	не только не	2	3
34	сих пор не	2	3
35	таким образом в	4	3
36	но и здесь	3	3
37	одной стороны и	2	3
38	в другом случае	3	3
39	к тому что	2	3
40	большей или меньшей	5	2
41	может быть и	2	2
42	и в том	2	2
43	сама по себе	2	2
44	мы не знаем	2	2
45	и связанные с	2	2
46	не могут быть	3	2
47	это не значит	2	2
48	но оно не	3	2
49	и не может	2	2
50	и не могут	2	2
51	у него нет	2	2
52	и т п	49	2
53	одно и то	2	2
54	может быть только	3	2
55	в свою очередь	3	2
