N	3gram	Trubetskoy	Formalny
1	с точки зрения	8	40
2	не может быть	4	29
3	на самом деле	7	21
4	то же время	2	20
5	в то же	2	20
6	во всяком случае	2	16
7	в связи с	3	16
8	в настоящее время	3	13
9	по отношению к	11	12
10	в самом деле	5	11
11	бы то ни	3	10
12	с другой стороны	4	9
13	для того чтобы	7	8
14	до сих пор	15	8
15	вместе с тем	3	8
16	с одной стороны	2	8
17	более или менее	8	7
18	то ни было	3	7
19	в свою очередь	2	7
20	в высшей степени	2	7
21	может быть и	4	6
22	в данном случае	3	6
23	в том что	16	6
24	в конце концов	4	4
25	тем не менее	4	4
26	как и все	2	4
27	но все же	2	4
28	что же касается	2	3
29	друг с другом	9	3
30	между этими двумя	2	3
31	только то что	2	3
32	так или иначе	5	3
33	в том случае	4	2
34	так же как	3	2
35	ничего общего с	2	2
36	как и в	2	2
37	друг от друга	6	2
38	именно потому что	2	2
39	лишь тогда когда	2	2
40	а и в	7	2
41	же касается до	2	2
42	в этом случае	4	2
43	и в том	2	2
44	в своем целом	2	2
45	в целом ряде	3	2
