N	3gram	Tiupa_Hudo	Morfolog
1	и т д	5	60
2	не может быть	5	9
3	в связи с	3	9
4	по отношению к	15	7
5	с точки зрения	5	6
6	тем не менее	6	6
7	подобно тому как	4	5
8	связи с этим	2	5
9	но все же	2	4
10	в том что	15	4
11	к тому что	8	4
12	о том что	14	3
13	в том случае	2	3
14	состоит в том	3	3
15	как и в	5	3
16	для того чтобы	2	3
17	в первом случае	2	3
18	на то что	2	3
19	том случае если	2	2
20	в данном случае	3	2
21	в этом отношении	4	2
22	с того что	2	2
23	о том как	4	2
24	можно было бы	5	2
25	с одной стороны	4	2
