N	3gram	Savitsky_E	StatiiOP
1	в том что	6	47
2	в этом отношении	3	24
3	для того чтобы	5	19
4	с точки зрения	16	14
5	во всяком случае	3	13
6	с другой стороны	2	13
7	не может быть	2	11
8	в то же	15	9
9	то же время	14	9
10	на то что	2	9
11	можно было бы	3	9
12	не только в	4	8
13	в данном случае	2	7
14	заключается в том	2	7
15	и в этом	4	7
16	так и в	2	6
17	так же как	5	6
18	в одном из	2	6
19	в этом смысле	3	6
20	то что в	2	5
21	в применении к	3	4
22	с одной стороны	8	4
23	того или иного	4	4
24	бы то ни	4	3
25	прежде всего в	2	3
26	можно сказать что	3	3
27	в известном смысле	3	3
28	только в том	2	3
29	не говоря уже	2	3
30	и только в	2	3
31	сказать что в	2	3
32	как мы видели	2	2
33	но в то	2	2
34	между прочим и	2	2
35	той или иной	4	2
36	и в то	8	2
37	то ни было	4	2
38	хотя бы и	3	2
39	как бы ни	3	2
40	в свою очередь	2	2
41	в той или	3	2
