N	2gram	Medvedev_U	Problema
1	и в	14	182
2	и не	8	152
3	то что	7	144
4	не есть	2	113
5	не только	10	104
6	в этом	7	88
7	может быть	6	82
8	том что	2	81
9	в том	2	81
10	только в	2	73
11	но и	4	70
12	у нас	3	68
13	по себе	2	64
14	даже и	2	63
15	а не	10	56
16	но в	3	55
17	в себе	2	48
18	было бы	3	46
19	в своей	3	45
20	прежде всего	8	45
21	в его	2	44
22	не в	2	43
23	таким образом	2	42
24	как раз	2	42
25	то же	5	42
26	что мы	2	40
27	и то	3	40
28	что он	2	40
29	не может	7	39
30	в этой	4	39
31	хотя бы	5	37
32	и с	2	34
33	как и	3	34
34	же самое	2	33
35	в то	3	32
36	но не	2	32
37	в конце	2	31
38	все это	5	31
39	что такое	4	31
40	но это	2	31
41	с другой	4	30
42	и для	2	30
43	все же	3	29
44	мы не	2	28
45	ничего не	2	27
46	по крайней	2	26
47	это не	3	26
48	крайней мере	2	26
49	другой стороны	3	26
50	конце концов	2	23
51	и является	2	22
52	что и	2	22
53	всех этих	2	22
54	в самом	2	21
55	и только	5	21
56	о чем	2	20
57	тем что	2	20
58	если бы	2	19
59	если не	2	19
60	самом деле	2	19
61	этом смысле	2	19
62	мы и	2	18
63	тех или	2	17
64	но даже	2	16
65	художественного произведения	2	16
66	для этого	3	16
67	что она	2	16
68	в частности	3	15
69	что все	2	14
70	сих пор	2	14
71	нас в	2	14
72	этого термина	2	14
73	то ни	3	14
74	до сих	2	14
75	в их	4	13
76	бы и	2	13
77	в области	3	13
78	на первый	2	12
79	не о	3	11
80	могли бы	2	11
81	или иных	2	11
82	не могут	2	11
83	и у	2	11
84	бы то	3	11
85	в искусстве	6	11
86	художественного творчества	5	10
87	художественное произведение	5	10
88	а его	2	9
89	в художественном	5	9
90	в буквальном	2	9
91	именно как	2	9
92	литературы и	2	9
93	это было	2	9
94	сколько угодно	2	9
95	для него	3	8
96	не все	2	8
97	для всех	2	8
98	является в	2	8
99	к сожалению	3	8
100	ни было	3	8
101	это уже	2	8
102	конечно не	4	8
103	же не	2	7
104	все они	2	7
105	ни от	2	7
106	этой области	3	7
107	не как	3	6
108	только к	3	6
109	как таковой	2	6
110	нам представляется	2	6
111	по существу	2	6
112	могут быть	2	6
113	с его	2	6
114	перестает быть	5	6
115	этом отношении	2	6
116	как такового	3	5
117	сводится к	2	5
118	между тем	2	5
119	одним из	2	5
120	на эту	2	4
121	а как	2	4
122	при таком	2	4
123	художественном произведении	2	4
124	вопроса о	2	4
125	или точнее	3	4
126	мы получаем	2	4
127	думается что	2	4
128	представляется нам	2	4
129	должна быть	2	3
130	превращается в	2	3
131	как принцип	2	3
132	в россии	4	3
133	не столько	2	3
134	вот почему	7	3
135	формы и	2	3
136	произведения искусства	3	3
137	в системе	2	3
138	на каждом	2	2
139	формы в	3	2
140	конечно нет	2	2
141	пришлось бы	3	2
142	художественных произведений	2	2
143	не приходится	2	2
144	не случайно	2	2
145	их и	2	2
146	форму и	2	2
