N	2gram	Voloshinov	Morfolog
1	может быть	17	61
2	и пр	12	45
3	таким образом	9	26
4	могут быть	3	21
5	так как	4	20
6	не может	8	19
7	в этом	9	18
8	в этих	3	17
9	и в	16	17
10	и не	4	16
11	мы видим	2	15
12	с этим	2	14
13	прежде всего	9	14
14	и др	3	12
15	то же	2	10
16	в том	3	10
17	то что	3	10
18	так и	4	10
19	что в	3	10
20	что и	2	10
21	но и	4	9
22	не только	7	8
23	а в	3	8
24	мы не	2	8
25	как мы	4	8
26	не могут	2	7
27	том что	3	7
28	не менее	2	7
29	как это	3	7
30	и этим	2	7
31	точки зрения	8	7
32	один из	2	7
33	но это	2	6
34	во всех	3	6
35	и как	3	6
36	во время	3	6
37	о том	2	6
38	если мы	2	6
39	с точки	6	6
40	как бы	5	6
41	и ее	4	5
42	хотя бы	4	5
43	мы можем	9	5
44	было бы	2	5
45	что он	2	5
46	между собой	2	5
47	все эти	5	5
48	он не	2	5
49	учение о	3	5
50	сказать что	7	4
51	на самом	4	4
52	его в	4	4
53	тех же	3	4
54	так же	2	4
55	к этому	2	4
56	есть и	2	4
57	еще не	5	4
58	самом деле	6	4
59	но в	4	4
60	и для	2	4
61	как и	2	4
62	и к	6	4
63	на этом	3	4
64	говорить о	2	4
65	мы уже	2	4
66	но как	2	3
67	а на	2	3
68	пр и	3	3
69	даже не	3	3
70	что это	2	3
71	и их	4	3
72	на первый	2	3
73	с этой	2	3
74	в один	4	3
75	в пределах	2	3
76	ее в	2	3
77	они не	2	3
78	ни в	5	3
79	что такое	5	3
80	но мы	4	3
81	в большинстве	3	3
82	не существует	2	3
83	большинстве случаев	3	3
84	здесь же	2	3
85	совсем не	2	3
86	в начале	2	3
87	можно назвать	2	3
88	и по	2	3
89	и его	8	3
90	только в	4	3
91	и есть	3	3
92	и только	9	3
93	в этой	4	3
94	по всему	2	3
95	с его	7	3
96	в каком	2	2
97	путь к	2	2
98	из этих	2	2
99	к себе	3	2
100	и даже	4	2
101	и таким	2	2
102	не на	2	2
103	в частности	2	2
104	только для	5	2
105	ни было	2	2
106	на друга	2	2
107	между собою	2	2
108	в чем	5	2
109	не знает	2	2
110	а потому	4	2
111	всех других	2	2
112	в свое	2	2
113	друг на	2	2
114	в итоге	2	2
115	и этот	2	2
116	вообще не	2	2
117	во сне	2	2
118	их в	3	2
119	ту же	2	2
120	оно не	2	2
121	с другими	3	2
122	для нас	2	2
123	что мы	2	2
124	всяком случае	3	2
125	себя и	2	2
126	все это	4	2
127	в основе	3	2
128	у него	2	2
129	можно сказать	4	2
130	но оно	3	2
131	момент в	2	2
132	для него	6	2
133	в одном	3	2
134	во всяком	3	2
135	по своему	2	2
