N	3gram	Vinokur_Ku	Problema
1	тем не менее	9	56
2	о том что	6	39
3	в том что	23	37
4	и т д	21	33
5	в настоящее время	2	30
6	в связи с	4	29
7	по крайней мере	11	26
8	во всяком случае	8	25
9	с точки зрения	16	25
10	с другой стороны	12	25
11	в конце концов	3	23
12	на то что	3	19
13	в этом смысле	8	19
14	ни в каком	2	18
15	для того чтобы	21	17
16	в то же	4	17
17	точно так же	4	16
18	и тем не	4	15
19	до сих пор	5	14
20	не что иное	2	14
21	в этом случае	4	14
22	что иное как	2	14
23	на самом деле	3	13
24	ничего общего с	2	13
25	сами по себе	2	13
26	можно было бы	11	13
27	того или иного	5	13
28	и вовсе не	4	13
29	в нашем смысле	2	12
30	не может быть	5	12
31	можно сказать что	2	12
32	так или иначе	3	12
33	но даже и	2	12
34	с одной стороны	2	11
35	более или менее	3	10
36	вместе с тем	3	10
37	не только в	4	10
38	что же касается	4	9
39	не говоря уже	2	9
40	т д и	3	9
41	только тогда когда	2	8
42	может быть только	2	8
43	д и т	3	8
44	только в том	5	8
45	заключается в том	2	8
46	обратить внимание на	2	7
47	в этой области	3	7
48	о том как	3	7
49	то или иное	2	7
50	только потому что	11	7
51	те или иные	2	7
52	так и в	2	6
53	само по себе	6	6
54	в том смысле	2	6
55	в самом деле	14	6
56	в этом отношении	8	6
57	потому что оно	2	5
58	хотя бы и	4	5
59	том что он	4	5
60	в первую очередь	3	5
61	в зависимости от	7	5
62	так же как	3	5
63	дело не в	3	4
64	этой точки зрения	4	4
65	не потому что	4	4
66	в таких случаях	3	4
67	и потому что	4	4
68	а с другой	3	4
69	но все же	3	4
70	и не в	2	4
71	то обстоятельство что	15	4
72	в том чтобы	9	4
73	в тех случаях	2	3
74	после того как	2	3
75	к тому что	2	3
76	с этой точки	3	3
77	хотя бы в	4	3
78	можно ли в	2	3
79	потому что она	2	3
80	одного и того	2	3
81	в отличие от	3	3
82	тех случаях когда	2	3
83	и того же	2	3
84	можно говорить о	2	2
85	ясно что в	2	2
86	в том случае	3	2
87	по отношению к	8	2
88	потому что не	2	2
89	но в том	2	2
90	точки зрения в	2	2
91	и в самом	4	2
92	а только в	2	2
93	а следовательно и	2	2
94	и в том	2	2
95	мы говорим о	3	2
96	в целом и	2	2
97	но также и	2	2
98	что все эти	2	2
99	в свою очередь	4	2
100	таким образом в	2	2
101	в том и	3	2
102	и т п	39	2
103	он должен быть	2	2
104	в виду не	2	2
105	внимание на то	2	2
106	а в том	2	2
107	в каждом из	2	2
108	хотя бы на	2	2
