N	2gram	Losev_Vesc	PoTuStor
1	может быть	37	17
2	и в	44	16
3	и пр	10	12
4	мы можем	4	9
5	в этом	17	9
6	и только	11	9
7	таким образом	16	9
8	прежде всего	17	9
9	и с	11	8
10	точки зрения	10	8
11	совершенно не	11	8
12	не может	44	8
13	и его	4	8
14	сказать что	21	7
15	не только	48	7
16	с его	2	7
17	и это	17	6
18	с точки	6	6
19	конечно не	2	6
20	самом деле	7	6
21	я и	8	6
22	для него	8	6
23	ни в	11	5
24	все эти	5	5
25	что такое	20	5
26	как бы	19	5
27	нуждается в	2	5
28	еще не	12	5
29	в чем	10	5
30	отношение к	4	5
31	как мы	6	4
32	и на	2	4
33	все это	7	4
34	его в	8	4
35	в его	5	4
36	и ее	19	4
37	но и	19	4
38	и не	57	4
39	и все	6	4
40	но в	8	4
41	в этой	4	4
42	с ее	10	4
43	так как	17	4
44	и их	11	4
45	все что	3	4
46	и может	3	4
47	только в	23	4
48	в нем	6	4
49	а потому	2	4
50	хотя бы	9	4
51	с ними	4	4
52	можно сказать	8	4
53	так и	4	4
54	мысли и	5	4
55	отнюдь не	8	4
56	и даже	12	4
57	и она	3	3
58	что в	11	3
59	и притом	4	3
60	даже не	8	3
61	жизни и	6	3
62	и оно	4	3
63	и как	12	3
64	и потому	8	3
65	на этой	2	3
66	а в	6	3
67	в том	15	3
68	их в	6	3
69	по сравнению	8	3
70	и вот	4	3
71	с другими	8	3
72	между ними	6	3
73	только на	3	3
74	крайней мере	10	3
75	и есть	40	3
76	но оно	3	3
77	сравнению с	7	3
78	на две	2	3
79	чем не	2	3
80	отношения к	3	3
81	как это	4	3
82	то что	47	3
83	реальности и	4	3
84	только как	2	3
85	во всех	5	3
86	по крайней	10	3
87	на язык	3	3
88	всяком случае	2	3
89	вместе с	4	3
90	учение о	2	3
91	в одном	6	3
92	этом смысле	2	3
93	к себе	4	3
94	на этом	4	3
95	во всяком	4	3
96	том что	13	3
97	в основе	4	3
98	один из	5	2
99	никогда не	5	2
100	для нас	2	2
101	что мы	17	2
102	мы видим	5	2
103	есть и	13	2
104	с нею	19	2
105	не можем	3	2
106	в жизни	5	2
107	в каком	6	2
108	в одно	2	2
109	метода и	4	2
110	для этого	5	2
111	и вообще	6	2
112	же как	3	2
113	и для	13	2
114	совсем не	2	2
115	и этот	2	2
116	что не	11	2
117	все то	2	2
118	что это	18	2
119	другими словами	9	2
120	оно и	4	2
121	вообще не	6	2
122	что и	11	2
123	не менее	11	2
124	не существует	4	2
125	существует только	2	2
126	и мы	5	2
127	было бы	24	2
128	как не	2	2
129	сводится к	4	2
130	о том	11	2
131	то же	12	2
132	с этим	4	2
133	как и	15	2
134	что он	7	2
135	сделать это	2	2
136	так же	4	2
137	говорить о	9	2
138	того же	5	2
139	но ведь	2	2
140	в науке	3	2
141	и таким	2	2
142	в своей	6	2
143	мы не	8	2
144	себя и	8	2
145	ни было	12	2
146	но как	3	2
147	в самом	13	2
148	находится в	4	2
149	с этой	6	2
150	в свое	2	2
151	не на	2	2
152	в частности	3	2
153	сознания и	2	2
154	он не	4	2
155	у него	3	2
156	ту же	2	2
157	между собою	12	2
158	для меня	3	2
159	если мы	12	2
160	как с	7	2
161	и о	4	2
162	оно не	6	2
163	не есть	79	2
164	к этому	2	2
165	что на	2	2
166	нем нет	2	2
167	нет и	4	2
168	только и	8	2
169	поэтому и	2	2
170	что оно	10	2
171	момент в	6	2
172	и так	2	2
173	быть может	3	2
174	есть в	4	2
175	мы уже	3	2
176	только то	4	2
177	не будет	13	2
178	с ним	8	2
179	между собой	2	2
180	но это	14	2
181	но зато	2	2
