N	3gram	Vinokur_St	TeoriaLi
1	в том что	29	10
2	по отношению к	3	10
3	в то же	5	8
4	то же время	5	8
5	с другой стороны	8	6
6	более или менее	2	6
7	того или иного	4	6
8	так или иначе	3	5
9	в данном случае	7	5
10	для того чтобы	13	5
11	не может быть	5	5
12	в первой строфе	2	4
13	с точки зрения	10	3
14	с одной стороны	2	3
15	в этом смысле	2	3
16	в том числе	3	3
17	тем не менее	4	3
18	бы то ни	2	2
19	не только не	2	2
20	тем или иным	3	2
21	в самом деле	7	2
22	в значительной степени	2	2
23	том числе и	2	2
24	том что он	6	2
25	к тому что	4	2
26	и в самом	3	2
27	как и в	2	2
28	может быть и	2	2
29	но в то	2	2
