N	3gram	Bakhtin_Pr	EvropaiC
1	в том что	10	16
2	до сих пор	3	15
3	по отношению к	17	11
4	друг с другом	4	9
5	с точки зрения	21	8
6	на самом деле	4	7
7	для того чтобы	3	7
8	друг от друга	2	6
9	по сравнению с	2	5
10	в самом деле	5	5
11	с другой стороны	3	4
12	в конце концов	7	4
13	о том что	5	4
14	совершенно так же	2	4
15	не может быть	8	4
16	то ни было	2	3
17	бы то ни	3	3
18	так же как	4	3
19	в данном случае	3	3
20	в целом ряде	2	3
21	таким образом в	2	3
22	заключается в том	2	3
23	он не может	2	2
24	во всяком случае	3	2
25	и в том	2	2
26	в том и	2	2
27	но все же	3	2
28	в то время	3	2
29	том что все	2	2
30	то же время	10	2
31	в высшей степени	2	2
32	том что он	4	2
33	в то же	10	2
34	друг к другу	4	2
35	именно потому что	3	2
36	двух или нескольких	2	2
37	только то что	2	2
